nct_id,unique_condition_BioLinkBERT-base,unique_condition_aact,all_annotations,all_unique_annotations,is_in_aact_exact,is_in_BioLinkBERT-base_exact,is_in_aact_partial,is_in_BioLinkBERT-base_partial
NCT02139436,acquired cardiovascular disease|acute sci|cardiovascular compromise|cardiovascular declines|cardiovascular disease|sci|spinal cord injuries,spinal cord injuries,spinal cord injuries|acquired cardiovascular disease|acute sci|cardiovascular compromise|cardiovascular declines|cardiovascular disease|sci|spinal cord injuries,cardiovascular disease,False,True,False,True
NCT03787693,asymmetry|stroke|walking asymmetry,stroke,stroke|asymmetry|stroke|walking asymmetry,asymmetry,False,True,False,True
NCT00295139,abuse|drug abuse|dual disordered|spmi,substance dependence|mood disorders|schizophrenia,substance dependence|mood disorders|schizophrenia|abuse|drug abuse|dual disordered|spmi,abuse,False,True,False,True
NCT01407341,metastatic cancer|metastatic spine cancer|spine cancer|surgery,spinal bone metastases|spinal cord compression|adult spinal cord neoplasm,spinal bone metastases|spinal cord compression|adult spinal cord neoplasm|metastatic cancer|metastatic spine cancer|spine cancer|surgery,spine cancer,False,True,False,True
NCT05462678,cognitive deficits|memory deficits|motor disabilities|ms|multiple sclerosis,multiple sclerosis,multiple sclerosis|cognitive deficits|memory deficits|motor disabilities|ms|multiple sclerosis,cognitive deficits,False,True,False,True
NCT02690896,cognitive impairment|dementia|depression,dementia|alzheimer disease,dementia|alzheimer disease|cognitive impairment|dementia|depression,depression,False,True,False,True
NCT05164211,adenoidectomy|increased pharyngeal collapsibility|obstructive sleep apnea-hypopnea syndrome|obstructive sleep apnoea syndrome|pharyngeal hypotonia|tonsillar hypertrophy,"sleep apnea, obstructive","sleep apnea, obstructive|adenoidectomy|increased pharyngeal collapsibility|obstructive sleep apnea-hypopnea syndrome|obstructive sleep apnoea syndrome|pharyngeal hypotonia|tonsillar hypertrophy",adenoidectomy,False,True,False,True
NCT01831414,paralysis|respiratory failure|spinal cord injuries,spinal cord injuries,spinal cord injuries|paralysis|respiratory failure|spinal cord injuries,respiratory failure,False,True,False,True
NCT04164810,chronic pain|neuralgia|neuropathic pain|pain|spinal cord injuries,spinal cord injuries|neuralgia|neuropathic pain,spinal cord injuries|neuralgia|neuropathic pain|chronic pain|neuralgia|neuropathic pain|pain|spinal cord injuries,pain,False,True,False,True
NCT01418976,"chronic, mild-to-moderate, traumatic brain injury|impairment|brain injuries, traumatic","difficulties, ambulation|brain injuries, traumatic","difficulties, ambulation|brain injuries, traumatic|chronic, mild-to-moderate, traumatic brain injury|impairment|brain injuries, traumatic",impairment,False,True,False,True
NCT03562351,rm|seizures|seizure rm,status epilepticus,status epilepticus|rm|seizures|seizure rm,rm,False,True,False,True
NCT01362959,critically ill|intensive care unit|nicotine withdrawal symptoms|smoking,substance withdrawal syndrome|nicotine replacement therapy|psychomotor agitation|delirium,substance withdrawal syndrome|nicotine replacement therapy|psychomotor agitation|delirium|critically ill|intensive care unit|nicotine withdrawal symptoms|smoking,critically ill,False,True,False,True
NCT05706831,doc|neurological,stroke|consciousness disorders,stroke|consciousness disorders|doc|neurological,neurological,False,True,False,True
NCT03130608,-|chronic liver disease|liver transplant|muscle wasting|post -|post-liver transplant|transplant surgery,muscle weakness|respiratory insufficiency|liver disease chronic,muscle weakness|respiratory insufficiency|liver disease chronic|-|chronic liver disease|liver transplant|muscle wasting|post -|post-liver transplant|transplant surgery,post -,False,True,False,True
NCT03518541,cerebral palsy|femoral derotation osteotomy|transversal plane femoral derotation osteotomies,"cerebral palsy|malalignment|gait disorders, neurologic","cerebral palsy|malalignment|gait disorders, neurologic|cerebral palsy|femoral derotation osteotomy|transversal plane femoral derotation osteotomies",transversal plane femoral derotation osteotomies,False,True,False,True
NCT02125760,muscle dysfunction|respiratory muscle dysfunction|stroke,muscle weakness,muscle weakness|muscle dysfunction|respiratory muscle dysfunction|stroke,respiratory muscle dysfunction,False,True,False,True
NCT04732065,back|brain neoplasms|cancer|diffuse midline glioma|diffuse midline gliomas|newly diagnosed|newly diagnosed or recurrent diffuse midline glioma|newly diagnosed or recurrent diffuse midline gliomas|recurrent)|recurrent primary malignant central nervous system (cns) tumors|recurrent primary malignant cns tumors|tumor,spinal cord glioma|cns tumor|recurrent malignant central nervous system neoplasm|diffuse midline glioma (dmg)|world health organization (who) grade iii glioma|recurrent ependymoma|glioblastoma|who grade iii glioma|central nervous system neoplasms,spinal cord glioma|cns tumor|recurrent malignant central nervous system neoplasm|diffuse midline glioma (dmg)|world health organization (who) grade iii glioma|recurrent ependymoma|glioblastoma|who grade iii glioma|central nervous system neoplasms|back|brain neoplasms|cancer|diffuse midline glioma|diffuse midline gliomas|newly diagnosed|newly diagnosed or recurrent diffuse midline glioma|newly diagnosed or recurrent diffuse midline gliomas|recurrent)|recurrent primary malignant central nervous system (cns) tumors|recurrent primary malignant cns tumors|tumor,cancer,False,True,False,True
NCT05371041,tics|tics|tourette syndrome,tourette syndrome,tourette syndrome|tics|tics|tourette syndrome,tics,False,True,False,True
NCT05464563,disorder of|disorder of empathy|empathy disorder|lack|lack of|schizophrenia|self -,schizoaffective disorder|schizophrenia,schizoaffective disorder|schizophrenia|disorder of|disorder of empathy|empathy disorder|lack|lack of|schizophrenia|self -,lack,False,True,False,True
NCT05716074,als|early stage als|fatigue,amyotrophic lateral sclerosis,amyotrophic lateral sclerosis|als|early stage als|fatigue,als,False,True,False,True
NCT02885285,anxiety|depression|fatigue|parkinson disease,parkinson disease,parkinson disease|anxiety|depression|fatigue|parkinson disease,depression,False,True,False,True
NCT04732065,back|brain neoplasms|cancer|diffuse midline glioma|diffuse midline gliomas|newly diagnosed|newly diagnosed or recurrent diffuse midline glioma|newly diagnosed or recurrent diffuse midline gliomas|recurrent)|recurrent primary malignant central nervous system (cns) tumors|recurrent primary malignant cns tumors|tumor,spinal cord glioma|cns tumor|recurrent malignant central nervous system neoplasm|diffuse midline glioma (dmg)|world health organization (who) grade iii glioma|recurrent ependymoma|glioblastoma|who grade iii glioma|central nervous system neoplasms,spinal cord glioma|cns tumor|recurrent malignant central nervous system neoplasm|diffuse midline glioma (dmg)|world health organization (who) grade iii glioma|recurrent ependymoma|glioblastoma|who grade iii glioma|central nervous system neoplasms|back|brain neoplasms|cancer|diffuse midline glioma|diffuse midline gliomas|newly diagnosed|newly diagnosed or recurrent diffuse midline glioma|newly diagnosed or recurrent diffuse midline gliomas|recurrent)|recurrent primary malignant central nervous system (cns) tumors|recurrent primary malignant cns tumors|tumor,brain neoplasms,False,True,False,True
NCT02139436,acquired cardiovascular disease|acute sci|cardiovascular compromise|cardiovascular declines|cardiovascular disease|sci|spinal cord injuries,spinal cord injuries,spinal cord injuries|acquired cardiovascular disease|acute sci|cardiovascular compromise|cardiovascular declines|cardiovascular disease|sci|spinal cord injuries,acquired cardiovascular disease,False,True,False,True
NCT00675155,hemorrhagic stroke|ischemic stroke|stroke,stroke,stroke|hemorrhagic stroke|ischemic stroke|stroke,hemorrhagic stroke,False,True,False,True
NCT01404247,colobomata|diabetic retinopathy|foveal hypoplasia|glaucoma|macular degeneration|melanoma|optic nerve hypoplasia|retinal detachment,optic nerve diseases|retinal diseases,optic nerve diseases|retinal diseases|colobomata|diabetic retinopathy|foveal hypoplasia|glaucoma|macular degeneration|melanoma|optic nerve hypoplasia|retinal detachment,glaucoma,False,True,False,True
