nct_id,unique_drug_BioLinkBERT-base,unique_drug_aact,all_annotations,all_unique_annotations,is_in_aact_exact,is_in_BioLinkBERT-base_exact,is_in_aact_partial,is_in_BioLinkBERT-base_partial
NCT04579783,5|corticosteroid|dextrose,triamcinolone acetonide|dextrose 5% in water,triamcinolone acetonide|dextrose 5% in water|5|corticosteroid|dextrose,dextrose,False,True,False,True
NCT04045665,anticoagulants|anticoagulation|antiplatelet therapy|antiplatelets|oral|oral anticoagulation,antiplatelet-only strategy|oral anticoagulant plus background antiplatelet therapy,antiplatelet-only strategy|oral anticoagulant plus background antiplatelet therapy|anticoagulants|anticoagulation|antiplatelet therapy|antiplatelets|oral|oral anticoagulation,anticoagulants,False,True,False,True
NCT05240976,anti|clozapine|ketamine,nmdae plus aifa,nmdae plus aifa|anti|clozapine|ketamine,clozapine,False,True,False,True
NCT04579783,5|corticosteroid|dextrose,triamcinolone acetonide|dextrose 5% in water,triamcinolone acetonide|dextrose 5% in water|5|corticosteroid|dextrose,5,False,True,False,True
NCT04579783,5|corticosteroid|dextrose,triamcinolone acetonide|dextrose 5% in water,triamcinolone acetonide|dextrose 5% in water|5|corticosteroid|dextrose,corticosteroid,False,True,False,True
NCT01405833,bg00010|artemin,bg00010 (neublastin),bg00010 (neublastin)|bg00010|artemin,bg00010,False,True,False,True
NCT01259388,lithium|lithium carbonate,lithium carbonate,lithium carbonate|lithium|lithium carbonate,lithium,False,True,False,True
NCT01386827,bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed|bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,ixiaro,False,True,False,True
NCT05240976,anti|clozapine|ketamine,nmdae plus aifa,nmdae plus aifa|anti|clozapine|ketamine,anti,False,True,False,True
NCT05387798,cannabidiol|rad011,rad011,rad011|cannabidiol|rad011,cannabidiol,False,True,False,True
NCT05850585,antipsychotic|antipsychotic drugs|antipsychotics,fecal microbiota transplantation(fmt),fecal microbiota transplantation(fmt)|antipsychotic|antipsychotic drugs|antipsychotics,antipsychotic drugs,False,True,False,True
NCT04045665,anticoagulants|anticoagulation|antiplatelet therapy|antiplatelets|oral|oral anticoagulation,antiplatelet-only strategy|oral anticoagulant plus background antiplatelet therapy,antiplatelet-only strategy|oral anticoagulant plus background antiplatelet therapy|anticoagulants|anticoagulation|antiplatelet therapy|antiplatelets|oral|oral anticoagulation,oral anticoagulation,False,True,False,True
NCT04622904,ketamine|lidocaine|magnesium,lidocaine-magnesium infusion|lidocaine-ketamine infusion|lidocaine infusion,lidocaine-magnesium infusion|lidocaine-ketamine infusion|lidocaine infusion|ketamine|lidocaine|magnesium,ketamine,False,True,False,True
NCT01997255,everolimus|everolimus|rad 001,everolimus,everolimus|everolimus|everolimus|rad 001,rad 001,False,True,False,True
NCT01386827,bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed|bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,ixiaro vaccine,False,True,False,True
NCT01404247,cyclo|sugar,,|cyclo|sugar,cyclo,False,True,False,True
NCT03016949,inactivated polio vaccine|inactivated polio vaccines|inactivated poliovaccine,ipv|f-ipv,ipv|f-ipv|inactivated polio vaccine|inactivated polio vaccines|inactivated poliovaccine,inactivated polio vaccines,False,True,False,True
NCT03661411,alteplase|antiplatelet|acetylsalicylic acid|aspirin|clopidogrel|r-tpa|rt-pa thrombolytic,acetylsalicylic acid|aspirin|clopidogrel 75mg|alteplase,acetylsalicylic acid|aspirin|clopidogrel 75mg|alteplase|alteplase|antiplatelet|acetylsalicylic acid|aspirin|clopidogrel|r-tpa|rt-pa thrombolytic,antiplatelet,False,True,False,True
NCT01386827,bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed|bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,bmjev,False,True,False,True
NCT03385174,activated charcoal|carbon monoxide,,|activated charcoal|carbon monoxide,activated charcoal,False,True,False,True
NCT01074073,lithium|lurasidone|lurasidone hcl,lurasidone hcl,lurasidone hcl|lithium|lurasidone|lurasidone hcl,lithium,False,True,False,True
NCT00716066,antithymocyte globulin|tricyclazole|carmustine|cytarabine|etoposide|melphalan|thymoglobulin,anti-thymocyte globulin|carmustine|cytarabine|etoposide|melphalan|prednisone,anti-thymocyte globulin|carmustine|cytarabine|etoposide|melphalan|prednisone|antithymocyte globulin|tricyclazole|carmustine|cytarabine|etoposide|melphalan|thymoglobulin,tricyclazole,False,True,False,True
NCT03016949,inactivated polio vaccine|inactivated polio vaccines|inactivated poliovaccine,ipv|f-ipv,ipv|f-ipv|inactivated polio vaccine|inactivated polio vaccines|inactivated poliovaccine,inactivated poliovaccine,False,True,False,True
NCT05240976,anti|clozapine|ketamine,nmdae plus aifa,nmdae plus aifa|anti|clozapine|ketamine,ketamine,False,True,False,True
NCT04404439,migraine medications,nortriptyline + topiramate|verapamil + paroxetine,nortriptyline + topiramate|verapamil + paroxetine|migraine medications,migraine medications,False,True,False,True
