nct_id,unique_condition_BioLinkBERT-base,unique_condition_aact,all_annotations,all_unique_annotations,is_in_aact_exact,is_in_BioLinkBERT-base_exact,is_in_aact_partial,is_in_BioLinkBERT-base_partial
NCT04232163,stroke,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases|stroke,brain ischemia,True,False,True,False
NCT01362959,critically ill|intensive care unit|nicotine withdrawal symptoms|smoking,substance withdrawal syndrome|nicotine replacement therapy|psychomotor agitation|delirium,substance withdrawal syndrome|nicotine replacement therapy|psychomotor agitation|delirium|critically ill|intensive care unit|nicotine withdrawal symptoms|smoking,delirium,True,False,True,False
NCT01362959,critically ill|intensive care unit|nicotine withdrawal symptoms|smoking,substance withdrawal syndrome|nicotine replacement therapy|psychomotor agitation|delirium,substance withdrawal syndrome|nicotine replacement therapy|psychomotor agitation|delirium|critically ill|intensive care unit|nicotine withdrawal symptoms|smoking,substance withdrawal syndrome,True,False,True,True
NCT00437372,cancer|tumor,head and neck cancer|pelvic cancer|cancer|thoracic neoplasms|nervous system neoplasms,head and neck cancer|pelvic cancer|cancer|thoracic neoplasms|nervous system neoplasms|cancer|tumor,head and neck cancer,True,False,True,False
NCT02016638,hypertensive disorders of pregnancy|osa|pregnancy|sdb|sleep disorders,"sleep apnea, obstructive|restless legs syndrome|high-risk pregnancy|pregnancy induced hypertension|infant, very low birth weight","sleep apnea, obstructive|restless legs syndrome|high-risk pregnancy|pregnancy induced hypertension|infant, very low birth weight|hypertensive disorders of pregnancy|osa|pregnancy|sdb|sleep disorders","sleep apnea, obstructive",True,False,True,False
NCT00300222,"neuralgia, postherpetic",herpes zoster|pain|neuralgia|peripheral nervous system diseases|shingles,"herpes zoster|pain|neuralgia|peripheral nervous system diseases|shingles|neuralgia, postherpetic",peripheral nervous system diseases,True,False,True,False
NCT00716066,autoimmune neurologic disease|autoimmune neurologic diseases|autoimmune neurological diseases,"multiple sclerosis stem cell transplant|autoimmune disease|rasmussen subacute encephalitis|multiple sclerosis transplant|opsoclonus-myoclonus syndrome|neuromyelitis optica|lambert eaton myasthenic syndrome|cidp transplant|vasculitis, central nervous system|ms stem cell transplant|hct for neurologic autoimmune disorders|chronic inflammatory demyelinating polyneuropathy|stiff-person syndrome|stiff person syndrome|cerebellar degeneration|myasthenia gravis|autologous transplant autoimmune|autoimmune nervous system disorder|autoimmune diseases of the nervous system|myasthenia gravis transplant","multiple sclerosis stem cell transplant|autoimmune disease|rasmussen subacute encephalitis|multiple sclerosis transplant|opsoclonus-myoclonus syndrome|neuromyelitis optica|lambert eaton myasthenic syndrome|cidp transplant|vasculitis, central nervous system|ms stem cell transplant|hct for neurologic autoimmune disorders|chronic inflammatory demyelinating polyneuropathy|stiff-person syndrome|stiff person syndrome|cerebellar degeneration|myasthenia gravis|autologous transplant autoimmune|autoimmune nervous system disorder|autoimmune diseases of the nervous system|myasthenia gravis transplant|autoimmune neurologic disease|autoimmune neurologic diseases|autoimmune neurological diseases",opsoclonus-myoclonus syndrome,True,False,True,False
NCT00527579,neurocysticercosis,healthy|neurocysticercosis,healthy|neurocysticercosis|neurocysticercosis,healthy,True,False,True,False
NCT00295139,abuse|drug abuse|dual disordered|spmi,substance dependence|mood disorders|schizophrenia,substance dependence|mood disorders|schizophrenia|abuse|drug abuse|dual disordered|spmi,schizophrenia,True,False,True,False
NCT03712748,anxiety|eating disorders,eating disorder|anorexia nervosa|binge-eating disorder|exposure|bulimia nervosa|therapy,eating disorder|anorexia nervosa|binge-eating disorder|exposure|bulimia nervosa|therapy|anxiety|eating disorders,anorexia nervosa,True,False,True,False
