nct_id,unique_condition_BioLinkBERT-base,unique_condition_aact,all_annotations,all_unique_annotations,is_in_aact_exact,is_in_BioLinkBERT-base_exact,is_in_aact_partial,is_in_BioLinkBERT-base_partial
NCT04937452,behavioral ftd|behavioural frontotemporal dementia|bvftd|frontotemporal dementia|newly diagnosed,"pick disease of the brain|proteostasis deficiencies|neurologic manifestations|metabolic disease|frontotemporal lobar degeneration|aphasia|nervous system diseases|mental disorders|neurobehavioral manifestations|speech disorders|aphasia, primary progressive|brain diseases|central nervous system diseases|communication disorders|dementia|neurocognitive disorders|language disorders|frontotemporal dementia|tdp-43 proteinopathies|neurodegenerative diseases","pick disease of the brain|proteostasis deficiencies|neurologic manifestations|metabolic disease|frontotemporal lobar degeneration|aphasia|nervous system diseases|mental disorders|neurobehavioral manifestations|speech disorders|aphasia, primary progressive|brain diseases|central nervous system diseases|communication disorders|dementia|neurocognitive disorders|language disorders|frontotemporal dementia|tdp-43 proteinopathies|neurodegenerative diseases|behavioral ftd|behavioural frontotemporal dementia|bvftd|frontotemporal dementia|newly diagnosed",metabolic disease,True,False,True,False
NCT05741853,"difficulties|aphasia, primary progressive|progressive aphasia","neurocognitive disorders|aphasia, primary progressive|language disorders|aphasia|frontotemporal dementia|bilingual aphasia|apraxia, motor|dysarthria|communication disorders|alzheimer disease|speech disorders|frontotemporal lobar degeneration|dementia|neurodegenerative diseases","neurocognitive disorders|aphasia, primary progressive|language disorders|aphasia|frontotemporal dementia|bilingual aphasia|apraxia, motor|dysarthria|communication disorders|alzheimer disease|speech disorders|frontotemporal lobar degeneration|dementia|neurodegenerative diseases|difficulties|aphasia, primary progressive|progressive aphasia",language disorders,True,False,True,False
NCT00821691,chronic post stroke aphasic|post stroke aphasic,cerebral infarction,cerebral infarction|chronic post stroke aphasic|post stroke aphasic,cerebral infarction,True,False,True,False
NCT03213002,glioblastoma multiforme|newly diagnosed glioblastoma|newly diagnosed glioblastoma multiforme,"brain neoplasms|brain tumor, primary|brain tumor adult|cancer|glioblastoma, adult|glioblastoma multiforme (gbm)|brain cancer|glioblastoma|glioma of brain","brain neoplasms|brain tumor, primary|brain tumor adult|cancer|glioblastoma, adult|glioblastoma multiforme (gbm)|brain cancer|glioblastoma|glioma of brain|glioblastoma multiforme|newly diagnosed glioblastoma|newly diagnosed glioblastoma multiforme",brain tumor adult,True,False,True,False
NCT04185038,b7|diffuse intrinsic pontine glioma|diffuse midline glioma|infratentorial|metastatic/leptomeningeal tumors|recurrent or refractory cns tumors|recurrent or refractory pediatric central nervous system tumors|supratentorial neoplasms|tumor|tumor resection,"diffuse midline glioma|medulloblastoma, childhood|glioma|diffuse intrinsic pontine glioma|ependymoma|pineoblastoma, childhood|germ cell tumor|atypical teratoid/rhabdoid tumor|choroid plexus carcinoma|primitive neuroectodermal tumor|central nervous system neoplasms","diffuse midline glioma|medulloblastoma, childhood|glioma|diffuse intrinsic pontine glioma|ependymoma|pineoblastoma, childhood|germ cell tumor|atypical teratoid/rhabdoid tumor|choroid plexus carcinoma|primitive neuroectodermal tumor|central nervous system neoplasms|b7|diffuse intrinsic pontine glioma|diffuse midline glioma|infratentorial|metastatic/leptomeningeal tumors|recurrent or refractory cns tumors|recurrent or refractory pediatric central nervous system tumors|supratentorial neoplasms|tumor|tumor resection","pineoblastoma, childhood",True,False,True,False
NCT01407341,metastatic cancer|metastatic spine cancer|spine cancer|surgery,spinal bone metastases|spinal cord compression|adult spinal cord neoplasm,spinal bone metastases|spinal cord compression|adult spinal cord neoplasm|metastatic cancer|metastatic spine cancer|spine cancer|surgery,spinal cord compression,True,False,True,False
NCT04937452,behavioral ftd|behavioural frontotemporal dementia|bvftd|frontotemporal dementia|newly diagnosed,"pick disease of the brain|proteostasis deficiencies|neurologic manifestations|metabolic disease|frontotemporal lobar degeneration|aphasia|nervous system diseases|mental disorders|neurobehavioral manifestations|speech disorders|aphasia, primary progressive|brain diseases|central nervous system diseases|communication disorders|dementia|neurocognitive disorders|language disorders|frontotemporal dementia|tdp-43 proteinopathies|neurodegenerative diseases","pick disease of the brain|proteostasis deficiencies|neurologic manifestations|metabolic disease|frontotemporal lobar degeneration|aphasia|nervous system diseases|mental disorders|neurobehavioral manifestations|speech disorders|aphasia, primary progressive|brain diseases|central nervous system diseases|communication disorders|dementia|neurocognitive disorders|language disorders|frontotemporal dementia|tdp-43 proteinopathies|neurodegenerative diseases|behavioral ftd|behavioural frontotemporal dementia|bvftd|frontotemporal dementia|newly diagnosed",language disorders,True,False,True,False
NCT04622904,elective gynecological surgery|postoperative pain,"ketamine|analgesics, non-narcotic|central nervous system depressants|pain, postoperative|lidocaine|analgesics|neurotransmitter agents|neuralgia|magnesium|pain, acute|pain, chronic","ketamine|analgesics, non-narcotic|central nervous system depressants|pain, postoperative|lidocaine|analgesics|neurotransmitter agents|neuralgia|magnesium|pain, acute|pain, chronic|elective gynecological surgery|postoperative pain",ketamine,True,False,True,False
NCT04232163,stroke,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases|stroke,central nervous system diseases,True,False,True,False
NCT02016638,hypertensive disorders of pregnancy|osa|pregnancy|sdb|sleep disorders,"sleep apnea, obstructive|restless legs syndrome|high-risk pregnancy|pregnancy induced hypertension|infant, very low birth weight","sleep apnea, obstructive|restless legs syndrome|high-risk pregnancy|pregnancy induced hypertension|infant, very low birth weight|hypertensive disorders of pregnancy|osa|pregnancy|sdb|sleep disorders",pregnancy induced hypertension,True,False,True,False
NCT01075672,,eating disorder|specific phobia|generalized anxiety disorder|trichotillomania|social phobia|general medical condition|tourette syndrome|panic disorder|depression|body dysmorphic disorder|attention deficit hyperactivity disorder|post-traumatic stress disorder|obsessive compulsive disorder,eating disorder|specific phobia|generalized anxiety disorder|trichotillomania|social phobia|general medical condition|tourette syndrome|panic disorder|depression|body dysmorphic disorder|attention deficit hyperactivity disorder|post-traumatic stress disorder|obsessive compulsive disorder|,trichotillomania,True,False,True,False
NCT04232163,stroke,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases|stroke,cerebrovascular disorders,True,False,True,False
NCT04330482,dementia,dementia|caregiver burnout|alzheimer disease,dementia|caregiver burnout|alzheimer disease|dementia,caregiver burnout,True,False,True,False
NCT01182441,atrial fibrillation|non-valvular atrial fibrillation,stroke|atrial fibrillation,stroke|atrial fibrillation|atrial fibrillation|non-valvular atrial fibrillation,stroke,True,False,True,False
NCT05464563,disorder of|disorder of empathy|empathy disorder|lack|lack of|schizophrenia|self -,schizoaffective disorder|schizophrenia,schizoaffective disorder|schizophrenia|disorder of|disorder of empathy|empathy disorder|lack|lack of|schizophrenia|self -,schizoaffective disorder,True,False,True,False
NCT04232163,stroke,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases|stroke,cardiovascular diseases,True,False,True,False
NCT04937452,behavioral ftd|behavioural frontotemporal dementia|bvftd|frontotemporal dementia|newly diagnosed,"pick disease of the brain|proteostasis deficiencies|neurologic manifestations|metabolic disease|frontotemporal lobar degeneration|aphasia|nervous system diseases|mental disorders|neurobehavioral manifestations|speech disorders|aphasia, primary progressive|brain diseases|central nervous system diseases|communication disorders|dementia|neurocognitive disorders|language disorders|frontotemporal dementia|tdp-43 proteinopathies|neurodegenerative diseases","pick disease of the brain|proteostasis deficiencies|neurologic manifestations|metabolic disease|frontotemporal lobar degeneration|aphasia|nervous system diseases|mental disorders|neurobehavioral manifestations|speech disorders|aphasia, primary progressive|brain diseases|central nervous system diseases|communication disorders|dementia|neurocognitive disorders|language disorders|frontotemporal dementia|tdp-43 proteinopathies|neurodegenerative diseases|behavioral ftd|behavioural frontotemporal dementia|bvftd|frontotemporal dementia|newly diagnosed",tdp-43 proteinopathies,True,False,True,False
NCT04232163,stroke,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases|stroke,cerebral infarction,True,False,True,False
NCT00295139,abuse|drug abuse|dual disordered|spmi,substance dependence|mood disorders|schizophrenia,substance dependence|mood disorders|schizophrenia|abuse|drug abuse|dual disordered|spmi,substance dependence,True,False,True,False
NCT04117269,active|diabetic foot ulcer|diabetic foot ulcers,peripheral nervous system diseases|diabetic foot ulcer|treatment adherence and compliance,peripheral nervous system diseases|diabetic foot ulcer|treatment adherence and compliance|active|diabetic foot ulcer|diabetic foot ulcers,treatment adherence and compliance,True,False,True,False
NCT04308577,brain injuries|severe brain injury|tbi,"stroke|subarachnoid hemorrhage|brain injuries|brain injuries, traumatic|anoxic brain injury|neuroinfections","stroke|subarachnoid hemorrhage|brain injuries|brain injuries, traumatic|anoxic brain injury|neuroinfections|brain injuries|severe brain injury|tbi",subarachnoid hemorrhage,True,False,True,False
NCT04937452,behavioral ftd|behavioural frontotemporal dementia|bvftd|frontotemporal dementia|newly diagnosed,"pick disease of the brain|proteostasis deficiencies|neurologic manifestations|metabolic disease|frontotemporal lobar degeneration|aphasia|nervous system diseases|mental disorders|neurobehavioral manifestations|speech disorders|aphasia, primary progressive|brain diseases|central nervous system diseases|communication disorders|dementia|neurocognitive disorders|language disorders|frontotemporal dementia|tdp-43 proteinopathies|neurodegenerative diseases","pick disease of the brain|proteostasis deficiencies|neurologic manifestations|metabolic disease|frontotemporal lobar degeneration|aphasia|nervous system diseases|mental disorders|neurobehavioral manifestations|speech disorders|aphasia, primary progressive|brain diseases|central nervous system diseases|communication disorders|dementia|neurocognitive disorders|language disorders|frontotemporal dementia|tdp-43 proteinopathies|neurodegenerative diseases|behavioral ftd|behavioural frontotemporal dementia|bvftd|frontotemporal dementia|newly diagnosed",communication disorders,True,False,True,False
NCT00164658,,stroke|coronary heart disease|diabetes|ovarian cancer|breast cancer|colorectal cancer,stroke|coronary heart disease|diabetes|ovarian cancer|breast cancer|colorectal cancer|,ovarian cancer,True,False,True,False
NCT05741853,"difficulties|aphasia, primary progressive|progressive aphasia","neurocognitive disorders|aphasia, primary progressive|language disorders|aphasia|frontotemporal dementia|bilingual aphasia|apraxia, motor|dysarthria|communication disorders|alzheimer disease|speech disorders|frontotemporal lobar degeneration|dementia|neurodegenerative diseases","neurocognitive disorders|aphasia, primary progressive|language disorders|aphasia|frontotemporal dementia|bilingual aphasia|apraxia, motor|dysarthria|communication disorders|alzheimer disease|speech disorders|frontotemporal lobar degeneration|dementia|neurodegenerative diseases|difficulties|aphasia, primary progressive|progressive aphasia",dysarthria,True,False,True,False
