nct_id,unique_drug_BioLinkBERT-base,unique_drug_aact,all_annotations,all_unique_annotations,is_in_aact_exact,is_in_BioLinkBERT-base_exact,is_in_aact_partial,is_in_BioLinkBERT-base_partial
NCT01362959,,transdermal nicotine patch,transdermal nicotine patch|,transdermal nicotine patch,True,False,True,False
NCT04937452,dopaminergic|rotigotine,rotigotine 4mg/24hrs patch|rotigotine 6mg/24hrs patch,rotigotine 4mg/24hrs patch|rotigotine 6mg/24hrs patch|dopaminergic|rotigotine,rotigotine 4mg/24hrs patch,True,False,True,False
NCT00282152,,optimal drug therapy,optimal drug therapy|,optimal drug therapy,True,False,True,False
NCT04404439,migraine medications,nortriptyline + topiramate|verapamil + paroxetine,nortriptyline + topiramate|verapamil + paroxetine|migraine medications,nortriptyline + topiramate,True,False,True,False
NCT05670158,,blood sampling,blood sampling|,blood sampling,True,False,True,False
NCT04404439,migraine medications,nortriptyline + topiramate|verapamil + paroxetine,nortriptyline + topiramate|verapamil + paroxetine|migraine medications,verapamil + paroxetine,True,False,True,False
NCT04185038,,scri-carb7h3(s); b7h3-specific chimeric antigen receptor (car) t cel,scri-carb7h3(s); b7h3-specific chimeric antigen receptor (car) t cel|,scri-carb7h3(s); b7h3-specific chimeric antigen receptor (car) t cel,True,False,True,False
NCT05240976,anti|clozapine|ketamine,nmdae plus aifa,nmdae plus aifa|anti|clozapine|ketamine,nmdae plus aifa,True,False,True,False
NCT04579783,5|corticosteroid|dextrose,triamcinolone acetonide|dextrose 5% in water,triamcinolone acetonide|dextrose 5% in water|5|corticosteroid|dextrose,dextrose 5% in water,True,False,True,False
NCT03016949,inactivated polio vaccine|inactivated polio vaccines|inactivated poliovaccine,ipv|f-ipv,ipv|f-ipv|inactivated polio vaccine|inactivated polio vaccines|inactivated poliovaccine,f-ipv,True,False,True,False
NCT01386827,bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed|bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,primary and booster immunizations with mb-jev,True,False,True,False
NCT04622904,ketamine|lidocaine|magnesium,lidocaine-magnesium infusion|lidocaine-ketamine infusion|lidocaine infusion,lidocaine-magnesium infusion|lidocaine-ketamine infusion|lidocaine infusion|ketamine|lidocaine|magnesium,lidocaine-magnesium infusion,True,False,True,False
