,nct_id,start_date,start_year,allocation,masking,were_results_reported,lead_or_collaborator,sponsor_name,agency_class,phase,agency_class_refined
2285,NCT00000307,2003-04-30,2003.0,,,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 2,NIH
2379,NCT00000333,2001-05-31,2001.0,,,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 2,NIH
2712,NCT00000428,2000-09-30,2000.0,Randomized,Quadruple,False,lead,Tufts Medical Center,OTHER,Phase 4,HOSPITAL
2754,NCT00000439,2000-10-31,2000.0,Randomized,Quadruple,False,lead,National Institute on Alcohol Abuse and Alcoholism (NIAAA),NIH,Phase 2,NIH
6266,NCT00001956,2000-01-31,2000.0,,,False,lead,National Institute of Dental and Craniofacial Research (NIDCR),NIH,Phase 2,NIH
6271,NCT00001986,2000-01-31,2000.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 1,NIH
59411,NCT00004268,2001-04-30,2001.0,,,False,lead,National Center for Research Resources (NCRR),NIH,Phase 2,NIH
59565,NCT00004403,2000-05-31,2000.0,Randomized,Double,False,lead,Johns Hopkins University,OTHER,Not Applicable,UNIVERSITY
59690,NCT00004554,2000-01-31,2000.0,Randomized,Quadruple,False,lead,University of Pennsylvania,OTHER,Phase 4,UNIVERSITY
59693,NCT00004576,2000-02-29,2000.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
67821,NCT00005571,2000-04-30,2000.0,,,False,lead,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,Phase 2,NIH
67824,NCT00005574,2000-02-29,2000.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 1,NIH
67828,NCT00005658,2000-05-31,2000.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
67971,NCT00005812,2000-01-31,2000.0,,None (Open Label),False,lead,Dartmouth-Hitchcock Medical Center,OTHER,Phase 2,HOSPITAL
67985,NCT00005850,2001-08-31,2001.0,,None (Open Label),False,lead,Alliance for Clinical Trials in Oncology,OTHER,Phase 2,OTHER
69017,NCT00005903,2000-06-30,2000.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
69020,NCT00005925,2000-06-23,2000.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 1,NIH
69023,NCT00006024,2000-11-30,2000.0,,None (Open Label),False,lead,Children's Oncology Group,NETWORK,Phase 1,NETWORK
88763,NCT00006055,2000-03-31,2000.0,,,False,lead,Fairview University Medical Center,OTHER,Not Applicable,UNIVERSITY
88785,NCT00006077,2000-08-31,2000.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
88798,NCT00006170,2000-09-30,2000.0,Randomized,Double,True,lead,University of Pittsburgh,OTHER,Phase 4,UNIVERSITY
88830,NCT00006180,2000-08-10,2000.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 4,NIH
88955,NCT00006204,2000-03-31,2000.0,Randomized,Double,False,lead,National Institute on Alcohol Abuse and Alcoholism (NIAAA),NIH,Phase 4,NIH
88995,NCT00006289,2000-09-30,2000.0,Randomized,Quadruple,True,lead,National Institute of Nursing Research (NINR),NIH,Phase 2,NIH
89011,NCT00006337,2000-10-31,2000.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
89014,NCT00006349,2001-02-28,2001.0,Randomized,Double,False,lead,Alliance for Clinical Trials in Oncology,OTHER,Phase 3,OTHER
89372,NCT00006450,2000-11-30,2000.0,,,False,lead,National Cancer Institute (NCI),NIH,Phase 2,NIH
89378,NCT00006489,2000-12-31,2000.0,Randomized,Triple,True,lead,University of Pennsylvania,OTHER,Phase 4,UNIVERSITY
89424,NCT00007189,2001-01-31,2001.0,Randomized,Double,False,lead,Seattle Institute for Biomedical and Clinical Research,OTHER,Phase 3,OTHER
90314,NCT00009048,2001-01-31,2001.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
90320,NCT00009191,2005-11-30,2005.0,Randomized,Double,False,lead,Johns Hopkins University,OTHER,Phase 4,UNIVERSITY
90360,NCT00009230,2000-06-30,2000.0,Randomized,Double,False,lead,"University of California, Los Angeles",OTHER,Phase 3,UNIVERSITY
90520,NCT00009672,2001-01-30,2001.0,,,False,lead,National Institute of Dental and Craniofacial Research (NIDCR),NIH,Phase 2,NIH
90526,NCT00010335,2000-11-30,2000.0,,None (Open Label),False,lead,Fred Hutchinson Cancer Center,OTHER,Phase 1,OTHER
90727,NCT00010803,2000-10-31,2000.0,Randomized,Double,True,lead,National Center for Complementary and Integrative Health (NCCIH),NIH,Phase 3,NIH
90880,NCT00010868,2000-07-31,2000.0,,Double,False,lead,National Center for Complementary and Integrative Health (NCCIH),NIH,Phase 2,NIH
90901,NCT00011375,2001-02-28,2001.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
90921,NCT00011804,2001-02-28,2001.0,,,False,lead,National Institute of Dental and Craniofacial Research (NIDCR),NIH,Phase 2,NIH
90924,NCT00012454,2001-03-31,2001.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
90930,NCT00012467,2000-01-31,2000.0,,Double,False,lead,InterMune,INDUSTRY,Phase 2,INDUSTRY
91024,NCT00012584,2000-11-30,2000.0,Randomized,None (Open Label),False,lead,National Institute of Mental Health (NIMH),NIH,Not Applicable,NIH
91264,NCT00013624,2001-03-31,2001.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
91267,NCT00013650,2001-03-22,2001.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 1,NIH
91276,NCT00014001,2000-12-31,2000.0,Randomized,Double,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 4,NIH
92007,NCT00015301,2003-12-31,2003.0,,Double,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 4,NIH
92045,NCT00015548,2001-03-31,2001.0,Randomized,Double,False,lead,National Institute of Mental Health (NIMH),NIH,Not Applicable,NIH
92147,NCT00015769,2001-04-30,2001.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
92149,NCT00015808,2001-05-31,2001.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 1,NIH
92152,NCT00016653,2000-06-30,2000.0,Randomized,Double,False,lead,Cooperative International Neuromuscular Research Group,NETWORK,Phase 2/Phase 3,NETWORK
92164,NCT00016679,2001-05-31,2001.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 1,NIH
92167,NCT00017628,2001-04-30,2001.0,,,False,lead,Northwestern Memorial Hospital,OTHER,Phase 1,HOSPITAL
93190,NCT00018057,2001-10-02,2001.0,Randomized,Double,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
93221,NCT00018291,2001-01-31,2001.0,Randomized,Double,False,lead,US Department of Veterans Affairs,FED,Not Applicable,FED
93246,NCT00018564,2000-10-31,2000.0,Randomized,Double,False,lead,US Department of Veterans Affairs,FED,Phase 3,FED
93265,NCT00018668,2000-10-31,2000.0,Randomized,None (Open Label),False,lead,US Department of Veterans Affairs,FED,Phase 4,FED
93272,NCT00018759,2001-03-31,2001.0,Randomized,Double,False,lead,US Department of Veterans Affairs,FED,Phase 4,FED
93302,NCT00018902,2001-01-31,2001.0,Randomized,Quadruple,False,lead,University of Pittsburgh,OTHER,Phase 2/Phase 3,UNIVERSITY
93340,NCT00021528,2001-07-31,2001.0,Randomized,None (Open Label),False,lead,National Institute of Mental Health (NIMH),NIH,Phase 4,NIH
93422,NCT00021541,2001-07-17,2001.0,Randomized,Single,True,lead,National Cancer Institute (NCI),NIH,Phase 2,NIH
93566,NCT00021697,2001-01-31,2001.0,Randomized,Double,False,lead,Avanir Pharmaceuticals,INDUSTRY,Phase 3,INDUSTRY
93617,NCT00021723,2001-09-30,2001.0,Randomized,Double,False,lead,"JANSSEN Alzheimer Immunotherapy Research & Development, LLC",INDUSTRY,Phase 2,INDUSTRY
93683,NCT00022074,2001-07-31,2001.0,Randomized,None (Open Label),False,lead,Gary Morrow,OTHER,Not Applicable,OTHER
93899,NCT00023283,2000-08-31,2000.0,Randomized,,False,lead,Yale University,OTHER,Phase 2,UNIVERSITY
93907,NCT00023634,2001-06-30,2001.0,Non-Randomized,None (Open Label),False,lead,SWOG Cancer Research Network,NETWORK,Phase 1,NETWORK
94063,NCT00024531,2000-10-31,2000.0,Randomized,Double,False,lead,Institute for the Study of Aging (ISOA),OTHER,Phase 2,OTHER
94069,NCT00025740,2001-10-31,2001.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 4,NIH
94071,NCT00025779,2001-10-31,2001.0,Randomized,Double,False,lead,National Institute of Mental Health (NIMH),NIH,Not Applicable,NIH
94091,NCT00025792,2001-10-31,2001.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
94093,NCT00025896,2001-05-31,2001.0,Non-Randomized,None (Open Label),False,lead,"Genzyme, a Sanofi Company",INDUSTRY,Phase 2,INDUSTRY
94108,NCT00026052,2001-11-30,2001.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
94110,NCT00026585,2001-11-09,2001.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
94112,NCT00026637,2001-08-31,2001.0,Randomized,None (Open Label),False,lead,Columbia University,OTHER,Phase 3,UNIVERSITY
94132,NCT00026988,2001-10-31,2001.0,Randomized,Double,False,lead,National Center for Complementary and Integrative Health (NCCIH),NIH,Phase 1/Phase 2,NIH
94157,NCT00027300,2001-11-30,2001.0,Randomized,Triple,False,lead,Biogen,INDUSTRY,Phase 3,INDUSTRY
96701,NCT00027378,2001-07-31,2001.0,Randomized,Triple,True,lead,University of Pittsburgh,OTHER,Phase 2,UNIVERSITY
96707,NCT00027391,2001-09-30,2001.0,Randomized,Double,False,lead,FDA Office of Orphan Products Development,FED,Not Applicable,FED
96710,NCT00027430,2001-09-30,2001.0,Randomized,,False,lead,Massachusetts General Hospital,OTHER,Not Applicable,HOSPITAL
96713,NCT00027846,2003-08-31,2003.0,Non-Randomized,None (Open Label),True,lead,Children's Oncology Group,NETWORK,Phase 2,NETWORK
110581,NCT00029146,2002-07-31,2002.0,Randomized,Single,True,lead,"University of North Carolina, Chapel Hill",OTHER,Phase 3,UNIVERSITY
110642,NCT00029315,2001-09-30,2001.0,Randomized,Double,False,lead,Johns Hopkins University,OTHER,Phase 2,UNIVERSITY
110645,NCT00029458,2002-01-31,2002.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
110659,NCT00029523,2001-04-30,2001.0,Randomized,None (Open Label),False,lead,"Pacira Pharmaceuticals, Inc",INDUSTRY,Phase 4,INDUSTRY
110797,NCT00029536,2000-10-31,2000.0,Randomized,Quadruple,True,lead,Beth Israel Deaconess Medical Center,OTHER,Phase 3,HOSPITAL
112057,NCT00029614,2006-05-31,2006.0,Non-Randomized,None (Open Label),False,lead,University of Pittsburgh,OTHER,Phase 2,UNIVERSITY
112069,NCT00029874,2001-09-30,2001.0,Randomized,Double,False,lead,FDA Office of Orphan Products Development,FED,Phase 1/Phase 2,FED
112081,NCT00030147,2002-02-28,2002.0,Randomized,Quadruple,True,lead,National Institute of Mental Health (NIMH),NIH,Phase 4,NIH
112084,NCT00030264,2001-02-28,2001.0,,None (Open Label),True,lead,Children's Hospital of Philadelphia,OTHER,Phase 2,HOSPITAL
112088,NCT00030966,2002-01-31,2002.0,Randomized,Triple,False,lead,Biogen,INDUSTRY,Phase 3,INDUSTRY
115784,NCT00030979,2002-02-28,2002.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 4,NIH
115802,NCT00031317,2002-02-28,2002.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 4,NIH
115804,NCT00031486,2000-09-30,2000.0,Randomized,Double,True,lead,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Phase 3,NIH
