,nct_id,canonical_BioLinkBERT-base_interventions,canonical_aact_interventions,aact_intervention_types,canonical_BioLinkBERT-base_conditions,canonical_aact_conditions,Disease Class
0,NCT00000117,intravenous immunoglobulin|ivig,immunoglobulin,Drug,multiple sclerosis|optic neuritis,optic neuritis,Cranial Nerve Diseases
1,NCT00000146,corticosteroid,prednisone|methylprednisolone,Drug,multiple sclerosis|optic neuritis,optic neuritis,Cranial Nerve Diseases
2,NCT00000146,corticosteroid,prednisone|methylprednisolone,Drug,multiple sclerosis|optic neuritis,multiple sclerosis,Demyelinating Diseases
3,NCT00000147,corticosteroid,prednisone|methylprednisolone,Drug,multiple sclerosis|optic neuritis,optic neuritis,Cranial Nerve Diseases
4,NCT00000147,corticosteroid,prednisone|methylprednisolone,Drug,multiple sclerosis|optic neuritis,multiple sclerosis,Demyelinating Diseases
5,NCT00000151,acetylsalicylic acid|aspirin,aspirin|acetylsalicylic acid,Drug,blindness|diabetes mellitus|diabetic retinopathy|early diabetic retinopathy|visual loss and,blindness,Neurologic Manifestations
6,NCT00000151,acetylsalicylic acid|aspirin,,Procedure,blindness|diabetes mellitus|diabetic retinopathy|early diabetic retinopathy|visual loss and,blindness,Neurologic Manifestations
7,NCT00000170,atropine,,Device,amblyopia|anisometropia|moderate amblyopia|strabismus,amblyopia,Neurologic Manifestations
8,NCT00000170,atropine,atropine,Drug,amblyopia|anisometropia|moderate amblyopia|strabismus,amblyopia,Neurologic Manifestations
9,NCT00000171,melatonin,melatonin,Drug,alzheimer disease|sleep disturbances,alzheimer disease,Neurodegenerative Diseases
10,NCT00000171,melatonin,melatonin,Drug,alzheimer disease|sleep disturbances,dyssomnias,Sleep Wake Disorders
11,NCT00000172,galantamine,galantamine,Drug,alzheimer disease,alzheimer disease,Neurodegenerative Diseases
12,NCT00000173,donepezil|donepezil hcl|vitamin e,vitamin e|donepezil,Drug,alzheimer disease|dementia|mild cognitive impairment|severe dementia,alzheimer disease,Neurodegenerative Diseases
13,NCT00000174,rivastigmine|rivastigmine patch,rivastigmine,Drug,alzheimer disease|dementia|mild cognitive impairment,alzheimer disease,Neurodegenerative Diseases
14,NCT00000176,estrogens,estrogen|estrogen and progesterone,Drug,alzheimer disease|loss of memory|memory disorders,alzheimer disease,Neurodegenerative Diseases
15,NCT00000176,estrogens,estrogen|estrogen and progesterone,Drug,alzheimer disease|loss of memory|memory disorders,memory disorders,Neurologic Manifestations
16,NCT00000177,estrogen,estrogen,Drug,alzheimer disease,alzheimer disease,Neurodegenerative Diseases
17,NCT00000178,prednisone,prednisone,Drug,alzheimer disease,alzheimer disease,Neurodegenerative Diseases
18,NCT00000179,haloperidol|trazodone,trazodone|haloperidol,Drug,ad|agitation,alzheimer disease,Neurodegenerative Diseases
19,NCT00000180,ait-082,ait-082,Drug,decline,memory disorders,Neurologic Manifestations
