,nct_id,canonical_BioLinkBERT-base_interventions,canonical_aact_interventions,aact_intervention_types,canonical_BioLinkBERT-base_conditions,canonical_aact_conditions,Disease Class
0,NCT00000117,intravenous immunoglobulin|ivig,immunoglobulin,Drug,multiple sclerosis|optic neuritis,optic neuritis,Cranial Nerve Diseases
1,NCT00000146,corticosteroid,methylprednisolone|prednisone,Drug,multiple sclerosis|optic neuritis,multiple sclerosis|optic neuritis,Cranial Nerve Diseases|Demyelinating Diseases
2,NCT00000147,corticosteroid,methylprednisolone|prednisone,Drug,multiple sclerosis|optic neuritis,multiple sclerosis|optic neuritis,Cranial Nerve Diseases|Demyelinating Diseases
3,NCT00000151,acetylsalicylic acid|aspirin,aspirin|acetylsalicylic acid,Drug|Procedure,blindness|diabetes mellitus|diabetic retinopathy|early diabetic retinopathy|visual loss and,diabetic retinopathy|blindness,Neurologic Manifestations|unknown
4,NCT00000170,atropine,atropine|,Drug|Device,amblyopia|anisometropia|moderate amblyopia|strabismus,amblyopia,Neurologic Manifestations
5,NCT00000171,melatonin,melatonin,Drug,alzheimer disease|sleep disturbances,alzheimer disease|dyssomnias,Sleep Wake Disorders|Neurodegenerative Diseases
6,NCT00000172,galantamine,galantamine,Drug,alzheimer disease,alzheimer disease,Neurodegenerative Diseases
7,NCT00000173,donepezil|donepezil hcl|vitamin e,donepezil|vitamin e,Drug,alzheimer disease|dementia|mild cognitive impairment|severe dementia,alzheimer disease,Neurodegenerative Diseases
8,NCT00000174,rivastigmine|rivastigmine patch,rivastigmine,Drug,alzheimer disease|dementia|mild cognitive impairment,cognition disorders|alzheimer disease,Neurodegenerative Diseases|Psychiatry and Psychology Category
9,NCT00000175,estrogen|testosterone,estrogen|testosterone,Drug,,cognition disorders|mood disorders,Psychiatry and Psychology Category
10,NCT00000176,estrogens,estrogen|estrogen and progesterone,Drug,alzheimer disease|loss of memory|memory disorders,memory disorders|alzheimer disease,Neurodegenerative Diseases|Neurologic Manifestations
11,NCT00000177,estrogen,estrogen,Drug,alzheimer disease,alzheimer disease,Neurodegenerative Diseases
12,NCT00000178,prednisone,prednisone,Drug,alzheimer disease,alzheimer disease,Neurodegenerative Diseases
13,NCT00000179,haloperidol|trazodone,trazodone|haloperidol,Drug,ad|agitation,alzheimer disease,Neurodegenerative Diseases
14,NCT00000180,ait-082,ait-082,Drug,decline,memory disorders,Neurologic Manifestations
15,NCT00000187,ritanserin,ritanserin,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
16,NCT00000188,selegiline,selegiline,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
17,NCT00000189,gepirone,gepirone,Drug,cocaine dependence|cocaine dependent|cocaine-related disorders,cocaine-related disorders,Diseases Category
18,NCT00000190,cocaine,,Procedure,,cocaine-related disorders,Diseases Category
19,NCT00000191,carbamazepine,carbamazepine,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
