,nct_id,aact_snomed_term_canonical_conditions,aact_top_concept_canonical_first_conditions
0,NCT00000117,Optic neuritis (disorder),Disorder of optic nerve (disorder)
1,NCT00000146,Optic neuritis (disorder)|Multiple sclerosis (disorder),Disorder of optic nerve (disorder)|Multiple sclerosis (disorder)
2,NCT00000147,Optic neuritis (disorder)|Multiple sclerosis (disorder),Disorder of optic nerve (disorder)|Multiple sclerosis (disorder)
3,NCT00000151,Legal blindness (disorder),Disorder of vision (disorder)
4,NCT00000170,Amblyopia (disorder),Disorder of vision (disorder)
5,NCT00000171,Alzheimer's disease (disorder)|Dyssomnia (disorder),Alzheimer's disease (disorder)|Dyssomnia (disorder)
6,NCT00000172,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
7,NCT00000173,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
8,NCT00000174,Alzheimer's disease (disorder)|Cognitive disorder (disorder),Alzheimer's disease (disorder)|Cognitive disorder (disorder)
9,NCT00000175,Mood disorder (disorder)|Cognitive disorder (disorder),Mood disorder (disorder)|Cognitive disorder (disorder)
10,NCT00000176,Alzheimer's disease (disorder)|Organic memory impairment (disorder),Alzheimer's disease (disorder)|Organic memory impairment (disorder)
11,NCT00000177,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
12,NCT00000178,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
13,NCT00000179,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
14,NCT00000180,Organic memory impairment (disorder),Organic memory impairment (disorder)
15,NCT00000187,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
16,NCT00000188,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
17,NCT00000189,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
18,NCT00000190,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
19,NCT00000191,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
20,NCT00000197,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
21,NCT00000198,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
22,NCT00000199,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
23,NCT00000200,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
24,NCT00000201,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
25,NCT00000210,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
26,NCT00000211,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
27,NCT00000212,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
28,NCT00000213,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
29,NCT00000214,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
30,NCT00000215,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
31,NCT00000216,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
32,NCT00000217,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
33,NCT00000218,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
34,NCT00000240,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
35,NCT00000241,Substance-related disorders,Substance-related disorders
36,NCT00000242,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
37,NCT00000244,Substance withdrawal syndrome (disorder),Substance withdrawal syndrome (disorder)
38,NCT00000245,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
39,NCT00000246,Substance-related disorders,Substance-related disorders
40,NCT00000248,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
41,NCT00000249,Substance-related disorders,Substance-related disorders
42,NCT00000250,Substance-related disorders,Substance-related disorders
43,NCT00000251,Substance-related disorders,Substance-related disorders
44,NCT00000252,Substance-related disorders,Substance-related disorders
45,NCT00000253,Substance-related disorders,Substance-related disorders
46,NCT00000254,Substance-related disorders,Substance-related disorders
47,NCT00000255,Substance-related disorders,Substance-related disorders
48,NCT00000256,Substance-related disorders,Substance-related disorders
49,NCT00000257,Substance-related disorders|Disorder caused by alcohol (disorder),Substance-related disorders|Disorder caused by alcohol (disorder)
50,NCT00000259,Substance-related disorders,Substance-related disorders
51,NCT00000260,Substance-related disorders,Substance-related disorders
52,NCT00000261,Substance-related disorders|Disorder caused by alcohol (disorder),Substance-related disorders|Disorder caused by alcohol (disorder)
53,NCT00000262,Substance-related disorders,Substance-related disorders
54,NCT00000263,Substance-related disorders,Substance-related disorders
55,NCT00000264,Substance-related disorders,Substance-related disorders
56,NCT00000266,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
57,NCT00000267,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
58,NCT00000268,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
59,NCT00000269,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
60,NCT00000270,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
61,NCT00000271,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
62,NCT00000273,Substance-related disorders,Substance-related disorders
