,nct_id,canonical_aact_conditions,snomed_termid,aact_snomed_term_canonical_conditions,aact_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
0,NCT00000117,optic neuritis,66760008,Optic neuritis (disorder),0.0037,[77157004],['Disorder of optic nerve (disorder)'],Disorder of optic nerve (disorder)
1,NCT00000146,optic neuritis,66760008,Optic neuritis (disorder),0.0037,[77157004],['Disorder of optic nerve (disorder)'],Disorder of optic nerve (disorder)
2,NCT00000146,multiple sclerosis,24700007,Multiple sclerosis (disorder),0.0028,[],[],Multiple sclerosis (disorder)
3,NCT00000147,optic neuritis,66760008,Optic neuritis (disorder),0.0037,[77157004],['Disorder of optic nerve (disorder)'],Disorder of optic nerve (disorder)
4,NCT00000147,multiple sclerosis,24700007,Multiple sclerosis (disorder),0.0028,[],[],Multiple sclerosis (disorder)
5,NCT00000151,blindness,65956007,Legal blindness (disorder),8.1673,[95677002],['Disorder of vision (disorder)'],Disorder of vision (disorder)
6,NCT00000170,amblyopia,387742006,Amblyopia (disorder),0.0044,[95677002],['Disorder of vision (disorder)'],Disorder of vision (disorder)
7,NCT00000171,alzheimer disease,26929004,Alzheimer's disease (disorder),0.005,[],[],Alzheimer's disease (disorder)
8,NCT00000171,dyssomnias,44186003,Dyssomnia (disorder),4.4794,[],[],Dyssomnia (disorder)
9,NCT00000172,alzheimer disease,26929004,Alzheimer's disease (disorder),0.005,[],[],Alzheimer's disease (disorder)
10,NCT00000173,alzheimer disease,26929004,Alzheimer's disease (disorder),0.005,[],[],Alzheimer's disease (disorder)
11,NCT00000174,alzheimer disease,26929004,Alzheimer's disease (disorder),0.005,[],[],Alzheimer's disease (disorder)
12,NCT00000174,cognition disorders,443265004,Cognitive disorder (disorder),3.5347,[],[],Cognitive disorder (disorder)
13,NCT00000175,mood disorders,46206005,Mood disorder (disorder),1.8501,[],[],Mood disorder (disorder)
14,NCT00000175,cognition disorders,443265004,Cognitive disorder (disorder),3.5347,[],[],Cognitive disorder (disorder)
15,NCT00000176,alzheimer disease,26929004,Alzheimer's disease (disorder),0.005,[],[],Alzheimer's disease (disorder)
16,NCT00000176,memory disorders,192072002,Organic memory impairment (disorder),9.1492,[],[],Organic memory impairment (disorder)
