,nct_id,aact_snomed_term_canonical_interventions,aact_top_concept_canonical_first_interventions
0,NCT00000117,Immunoglobulin (substance),Blood component (substance)
1,NCT00000146,Prednisone (substance)|Methylprednisolone (substance),Corticosteroid and/or corticosteroid derivative (substance)
2,NCT00000147,Prednisone (substance)|Methylprednisolone (substance),Corticosteroid and/or corticosteroid derivative (substance)
3,NCT00000151,Aspirin (substance),Analgesic (substance)
4,NCT00000170,Atropine (substance),Antidote (substance)
5,NCT00000171,Melatonin (substance),Azole (substance)
6,NCT00000172,Galantamine (substance),Parasympathomimetic agent (substance)
7,NCT00000173,Vitamin E and/or vitamin E derivative (substance)|Donepezil (substance),Nutrients (substance)|Ketone (substance)
8,NCT00000174,Rivastigmine (substance),Parasympathomimetic agent (substance)
9,NCT00000175,Testosterone (substance)|Substance with estrogen receptor agonist mechanism of action (substance),Testosterone and/or testosterone derivative (substance)|Substance with estrogen receptor agonist mechanism of action (substance)
10,NCT00000176,Substance with estrogen receptor agonist mechanism of action (substance)|Synthetic progestogen (substance),Substance with estrogen receptor agonist mechanism of action (substance)|Synthetic progestogen (substance)
11,NCT00000177,Substance with estrogen receptor agonist mechanism of action (substance),Substance with estrogen receptor agonist mechanism of action (substance)
12,NCT00000178,Prednisone (substance),Corticosteroid and/or corticosteroid derivative (substance)
13,NCT00000179,Haloperidol (substance)|Trazodone (substance),Ketone (substance)|Psychotropic agent (substance)
14,NCT00000180,Tisagenlecleucel (substance),Antineoplastic agent (substance)
15,NCT00000187,Ketanserin (substance),Ketanserin (substance)
16,NCT00000188,Selegiline (substance),Selegiline (substance)
17,NCT00000189,Bulbogastrone (substance),Bulbogastrone (substance)
18,NCT00000191,Carbamazepine (substance),Carbamazepine (substance)
19,NCT00000197,Propranolol (substance),Propranolol (substance)
20,NCT00000198,Piracetam (substance),Piracetam (substance)
21,NCT00000199,Piracetam (substance),Piracetam (substance)
22,NCT00000200,Methadone (substance),Analgesic (substance)
23,NCT00000201,Selegiline (substance),Selegiline (substance)
24,NCT00000210,Buprenorphine (substance),Analgesic (substance)
25,NCT00000211,Buprenorphine (substance),Analgesic (substance)
26,NCT00000212,Desipramine (substance),Psychotropic agent (substance)
27,NCT00000213,Fluoxetine (substance),Psychotropic agent (substance)
28,NCT00000214,Buprenorphine (substance),Analgesic (substance)
29,NCT00000215,Pergolide (substance),Ergoline derivative (substance)
30,NCT00000216,Buprenorphine (substance),Analgesic (substance)
31,NCT00000217,Carbamazepine (substance),Carbamazepine (substance)
32,NCT00000218,Carbamazepine (substance),Carbamazepine (substance)
33,NCT00000240,Buprenorphine (substance),Analgesic (substance)
34,NCT00000241,Flupentixol (substance),Psychotropic agent (substance)
35,NCT00000242,Carbamazepine (substance),Carbamazepine (substance)
36,NCT00000244,Dynorphin (substance),Dynorphin (substance)
37,NCT00000245,Desipramine (substance),Psychotropic agent (substance)
38,NCT00000246,Flumazenil (substance),Antidote (substance)
39,NCT00000248,Pergolide (substance),Ergoline derivative (substance)
40,NCT00000249,Nitrous oxide (substance),Gaseous substance (substance)
41,NCT00000250,Nitrous oxide (substance),Gaseous substance (substance)
42,NCT00000251,Isoflurane (substance)|Nitrous oxide (substance),General anesthetic (substance)|Gaseous substance (substance)
43,NCT00000252,Nitrous oxide (substance),Gaseous substance (substance)
44,NCT00000253,Nitrous oxide (substance),Gaseous substance (substance)
45,NCT00000254,Isoflurane (substance)|Nitrous oxide (substance),General anesthetic (substance)|Gaseous substance (substance)
46,NCT00000255,Nitrous oxide (substance),Gaseous substance (substance)
47,NCT00000256,Nitrous oxide (substance),Gaseous substance (substance)
48,NCT00000257,Nitrous oxide (substance),Gaseous substance (substance)
49,NCT00000259,Nitrous oxide (substance)|Sevoflurane (substance),Gaseous substance (substance)|General anesthetic (substance)
50,NCT00000260,Nitrous oxide (substance),Gaseous substance (substance)
51,NCT00000261,Sevoflurane (substance)|Nitrous oxide (substance),General anesthetic (substance)|Gaseous substance (substance)
52,NCT00000262,Sevoflurane (substance)|Nitrous oxide (substance)|Substance (substance),General anesthetic (substance)|Gaseous substance (substance)|Substance (substance)
53,NCT00000263,Nitrous oxide (substance),Gaseous substance (substance)
54,NCT00000264,Nitrous oxide (substance),Gaseous substance (substance)
55,NCT00000266,Flupentixol (substance),Psychotropic agent (substance)
56,NCT00000267,Risperidone (substance),Psychotropic agent (substance)
57,NCT00000268,Bupropion (substance),Ketone (substance)
58,NCT00000269,Pergolide (substance),Ergoline derivative (substance)
59,NCT00000270,Cocaine (substance),Local anesthetic (substance)
60,NCT00000271,Desipramine (substance),Psychotropic agent (substance)
61,NCT00000273,Poisoning caused by opioid receptor agonist (disorder),Poisoning (disorder)
62,NCT00000274,Flupentixol (substance),Psychotropic agent (substance)
63,NCT00000275,Flupentixol (substance),Psychotropic agent (substance)
64,NCT00000276,Bupropion (substance),Ketone (substance)
65,NCT00000277,Mazindol (substance),Mazindol (substance)
66,NCT00000278,Disulfiram (substance),Patch test substance (substance)
67,NCT00000279,Clonidine (substance),Clonidine (substance)
68,NCT00000280,Nimodipine (substance),Nimodipine (substance)
69,NCT00000282,Pemoline (substance),Azole (substance)
70,NCT00000284,Cotinine (substance),Cotinine (substance)
71,NCT00000285,Phenytoin (substance),Patch test substance (substance)
72,NCT00000286,Nefazodone (substance),Azole (substance)
73,NCT00000288,Cotinine (substance),Cotinine (substance)
74,NCT00000289,Ondansetron (substance),Ondansetron (substance)
75,NCT00000290,Cocaine (substance),Local anesthetic (substance)
76,NCT00000291,Labetalol (substance),Labetalol (substance)
77,NCT00000293,Nefazodone (substance),Azole (substance)
78,NCT00000294,Carvedilol (substance),Carvedilol (substance)
79,NCT00000295,Medrogestone (substance),Corticosteroid and/or corticosteroid derivative (substance)
80,NCT00000296,Cotinine (substance),Cotinine (substance)
81,NCT00000297,Labetalol (substance),Labetalol (substance)
82,NCT00000301,Amantadine (substance),Amantadine (substance)
83,NCT00000303,Baclofen (substance),Baclofen (substance)
84,NCT00000304,Dexamfetamine (substance),Psychotropic agent (substance)
85,NCT00000305,Dexamfetamine (substance),Psychotropic agent (substance)
86,NCT00000306,Dexamfetamine (substance),Psychotropic agent (substance)
87,NCT00000307,Naltrexone (substance),Antidote (substance)
88,NCT00000308,Dexamfetamine (substance),Psychotropic agent (substance)
89,NCT00000309,Risperidone (substance),Psychotropic agent (substance)
90,NCT00000310,Risperidone (substance),Psychotropic agent (substance)
91,NCT00000311,Methadone (substance)|Buprenorphine (substance),Analgesic (substance)
92,NCT00000312,M-chlorophenylpiperazine (substance),Psychotropic agent (substance)
93,NCT00000313,Fenfluramine (substance),Psychotropic agent (substance)
