,nct_id,canonical_aact_interventions,snomed_termid,aact_snomed_term_canonical_interventions,aact_cdist_interventions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
1,NCT00000146,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3,NCT00000147,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
7,NCT00000170,atropine,372832002,Atropine (substance),0.0077,"[372892004, 439718001]","['Antidote (substance)', 'Aza compound (substance)']",Antidote (substance)
11,NCT00000173,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
18,NCT00000178,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
19,NCT00000179,haloperidol,386837002,Haloperidol (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
21,NCT00000180,ait-082,764085003,Tisagenlecleucel (substance),13.6965,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
29,NCT00000200,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
47,NCT00000249,30% n2o,111132001,Nitrous oxide (substance),13.0245,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
48,NCT00000249,20% n2o,111132001,Nitrous oxide (substance),12.5305,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
49,NCT00000249,40% n2o,111132001,Nitrous oxide (substance),13.0387,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
50,NCT00000250,0% n2o,111132001,Nitrous oxide (substance),11.4103,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
51,NCT00000250,40% n2o,111132001,Nitrous oxide (substance),13.0387,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
53,NCT00000251,30% n2o,111132001,Nitrous oxide (substance),13.0245,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
55,NCT00000252,10% n2o,111132001,Nitrous oxide (substance),11.7347,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
56,NCT00000252,0% n2o,111132001,Nitrous oxide (substance),11.4103,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
57,NCT00000252,20% n2o,111132001,Nitrous oxide (substance),12.5305,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
58,NCT00000252,40% n2o,111132001,Nitrous oxide (substance),13.0387,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
59,NCT00000252,30% n2o,111132001,Nitrous oxide (substance),13.0245,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
60,NCT00000253,10% n2o,111132001,Nitrous oxide (substance),11.7347,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
61,NCT00000253,30% n2o,111132001,Nitrous oxide (substance),13.0245,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
62,NCT00000253,20% n2o,111132001,Nitrous oxide (substance),12.5305,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
63,NCT00000253,40% n2o,111132001,Nitrous oxide (substance),13.0387,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
67,NCT00000254,40% nitrous oxide,111132001,Nitrous oxide (substance),11.9027,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
68,NCT00000255,nitrous oxide,111132001,Nitrous oxide (substance),0.0,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
69,NCT00000256,60% n2o,111132001,Nitrous oxide (substance),12.5638,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
70,NCT00000256,80% n2o,111132001,Nitrous oxide (substance),11.8152,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
71,NCT00000256,20% n2o,111132001,Nitrous oxide (substance),12.5305,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
72,NCT00000256,40% n2o,111132001,Nitrous oxide (substance),13.0387,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
73,NCT00000257,0% n2o and 30% n2o,111132001,Nitrous oxide (substance),13.72,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
74,NCT00000257,0% n2o and 40% n2o,111132001,Nitrous oxide (substance),13.9183,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
75,NCT00000257,0% n2o and 10% n2o,111132001,Nitrous oxide (substance),12.6808,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
76,NCT00000257,0% n2o and 20% n2o,111132001,Nitrous oxide (substance),13.5105,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
77,NCT00000259,15 % nitrous oxide,111132001,Nitrous oxide (substance),12.3339,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
79,NCT00000259,30% nitrous oxide,111132001,Nitrous oxide (substance),12.2427,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
81,NCT00000260,nitrous oxide,111132001,Nitrous oxide (substance),0.0,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
83,NCT00000261,30% nitrous oxide,111132001,Nitrous oxide (substance),12.2427,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
87,NCT00000262,30% nitrous oxide,111132001,Nitrous oxide (substance),12.2427,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
90,NCT00000263,30% nitrous oxide,111132001,Nitrous oxide (substance),12.2427,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
91,NCT00000264,30% nitrous oxide,111132001,Nitrous oxide (substance),12.2427,"[74947009, 373288007]","['Gaseous substance (substance)', 'General anesthetic (substance)']",Gaseous substance (substance)
94,NCT00000268,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
96,NCT00000270,cocaine,387085005,Cocaine (substance),0.0059,"[373477003, 418183005, 439718001]","['Local anesthetic (substance)', 'Psychotropic agent (substance)', 'Aza compound (substance)']",Local anesthetic (substance)
101,NCT00000276,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
106,NCT00000282,pemoline,387393000,Pemoline (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
108,NCT00000285,phenytoin,387220006,Phenytoin (substance),0.0052,"[288841007, 300903003]","['Patch test substance (substance)', 'Azole (substance)']",Patch test substance (substance)
109,NCT00000286,nefazodone,372491002,Nefazodone (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
