,nct_id,linkbert_snomed_term_canonical_conditions,linkbert_top_concept_canonical_first_conditions
0,NCT00000117,Multiple sclerosis (disorder)|Optic neuritis (disorder),Multiple sclerosis (disorder)|Disorder of optic nerve (disorder)
1,NCT00000146,Multiple sclerosis (disorder)|Optic neuritis (disorder),Multiple sclerosis (disorder)|Disorder of optic nerve (disorder)
2,NCT00000147,Multiple sclerosis (disorder)|Optic neuritis (disorder),Multiple sclerosis (disorder)|Disorder of optic nerve (disorder)
3,NCT00000151,Diabetes mellitus (disorder)|Retinopathy due to diabetes mellitus (disorder)|Non-high-risk proliferative retinopathy due to diabetes mellitus (disorder)|Starvation (disorder),Disorder of glucose metabolism (disorder)|Disorder of eye region (disorder)|Nutritional disorder (disorder)
4,NCT00000170,Amblyopia (disorder)|Anisometropia (disorder)|Moderate visual impairment (disorder)|Strabismus (disorder)|Treated,Amblyopia (disorder)|Disorder of refraction (disorder)|Visual impairment (disorder)|Disorder of eye movements (disorder)|Treated
5,NCT00000171,Alzheimer's disease (disorder)|Middle insomnia (disorder)|Dyssomnia (disorder),Alzheimer's disease (disorder)|Sleep disorder (disorder)
6,NCT00000172,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
7,NCT00000173,Alzheimer's disease (disorder)|Age-associated memory impairment (disorder)|Dementia (disorder)|Organic memory impairment (disorder)|Mild neurocognitive disorder (disorder),Alzheimer's disease (disorder)|Organic memory impairment (disorder)|Dementia (disorder)|Cognitive disorder (disorder)
8,NCT00000174,Alzheimer's disease (disorder)|Dementia (disorder)|Disease (disorder)|Mild neurocognitive disorder (disorder),Alzheimer's disease (disorder)|Dementia (disorder)|Disease (disorder)|Cognitive disorder (disorder)
9,NCT00000176,Alzheimer's disease (disorder)|Organic memory impairment (disorder),Alzheimer's disease (disorder)|Organic memory impairment (disorder)
10,NCT00000177,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
11,NCT00000178,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
12,NCT00000179,Alzheimer's disease (disorder)|Stress reaction with psychomotor agitation (disorder),Alzheimer's disease (disorder)|Adjustment disorder (disorder)
13,NCT00000180,Depressive disorder (disorder),Depressive disorder (disorder)
14,NCT00000187,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
15,NCT00000188,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
16,NCT00000189,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
17,NCT00000191,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
18,NCT00000197,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
19,NCT00000198,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
20,NCT00000199,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
21,NCT00000200,Cocaine|Cocaine abuse (disorder)|Opioid dependence (disorder),Cocaine|Disorder caused by cocaine (disorder)|Substance dependence (disorder)
22,NCT00000210,Acquired immune deficiency syndrome (disorder)|Superimposed infection (disorder)|Intravenous cocaine abuse (disorder)|Substance-related disorders,Immunodeficiency disorder (disorder)|Infectious disease (disorder)|Disorder caused by cocaine (disorder)|Substance-related disorders
23,NCT00000211,Acquired immune deficiency syndrome (disorder)|Superimposed infection (disorder)|Intravenous cocaine abuse (disorder)|Substance-related disorders,Immunodeficiency disorder (disorder)|Infectious disease (disorder)|Disorder caused by cocaine (disorder)|Substance-related disorders
24,NCT00000212,Cocaine|Intravenous cocaine abuse (disorder),Cocaine|Disorder caused by cocaine (disorder)
25,NCT00000213,Cocaine|Intravenous cocaine abuse (disorder),Cocaine|Disorder caused by cocaine (disorder)
26,NCT00000214,Cocaine|Disorder caused by cocaine (disorder)|Oculootoradial syndrome (disorder)|Nondependent opioid abuse (disorder),"Cocaine|Disorder caused by cocaine (disorder)|Ear, nose and throat disorder (disorder)|Substance abuse (disorder)"
27,NCT00000215,Cocaine|Intravenous cocaine abuse (disorder)|Nondependent opioid abuse (disorder),Cocaine|Disorder caused by cocaine (disorder)|Substance abuse (disorder)
28,NCT00000216,Cocaine ab|Cocaine abuse (disorder)|Opioid dependence (disorder),Cocaine ab|Disorder caused by cocaine (disorder)|Substance dependence (disorder)
29,NCT00000217,Cocaine abuse (disorder)|Substance-related disorders,Disorder caused by cocaine (disorder)|Substance-related disorders
30,NCT00000218,Cocaine abuse (disorder),Disorder caused by cocaine (disorder)
31,NCT00000240,Cocaine|Opioid,Cocaine|Opioid
32,NCT00000241,Methamphetamine|Methamphetamine dependence (disorder)|Methamphetamine abuse (disorder),Methamphetamine|Substance dependence (disorder)|Substance abuse (disorder)
33,NCT00000242,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder)|Mood disorder (disorder),Disorder caused by cocaine (disorder)|Mood disorder (disorder)
34,NCT00000244,Dependence on diamorphine (disorder)|Opioid withdrawal syndrome (disorder)|Opiate,Substance dependence (disorder)|Opioid withdrawal syndrome (disorder)|Opiate
35,NCT00000245,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
36,NCT00000246,Benzodiazepine withdrawal syndrome (disorder)|Benzodiazepine detoxification,Hypnotic withdrawal syndrome (disorder)|Benzodiazepine detoxification
37,NCT00000248,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
38,NCT00000249,Psychogenic headache (disorder),Headache disorder (disorder)
39,NCT00000254,Common cold (disorder)|Pain,"Ear, nose and throat disorder (disorder)|Pain"
40,NCT00000257,Alcohol,Alcohol
41,NCT00000259,Pain,Pain
42,NCT00000261,Alcohol,Alcohol
43,NCT00000262,Pain,Pain
44,NCT00000263,Pain,Pain
45,NCT00000266,Cocaine abuse (disorder)|Cocaine dependence (disorder)|Disorder caused by cocaine (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)|Schizophrenic disorders (disorder),Disorder caused by cocaine (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)
46,NCT00000267,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder),Disorder caused by cocaine (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)
47,NCT00000268,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)|Cocaine",Disorders of attention and motor control (disorder)|Cocaine
48,NCT00000269,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder)|Substance abuse (disorder),Disorder caused by cocaine (disorder)|Substance abuse (disorder)
49,NCT00000270,Cocaine,Cocaine
50,NCT00000271,Cocaine|Dysthymia (disorder)|Major depressive disorder (disorder),Cocaine|Depressive disorder (disorder)
51,NCT00000273,Heroin,Heroin
52,NCT00000274,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)|Schizophrenic disorders (disorder),Disorder caused by cocaine (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)
53,NCT00000275,Attention deficit hyperactivity disorder (disorder)|Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorders of attention and motor control (disorder)|Disorder caused by cocaine (disorder)
54,NCT00000276,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
55,NCT00000277,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
56,NCT00000278,Alcohol abuse (disorder)|Cocaine -,Disorder caused by alcohol (disorder)|Cocaine -
57,NCT00000279,Opioid withdrawal syndrome (disorder),Opioid withdrawal syndrome (disorder)
58,NCT00000280,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
59,NCT00000282,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
60,NCT00000284,Nicotine dependence (disorder)|Tobacco dependence syndrome (disorder)|Nicotine withdrawal syndrome (disorder),Substance dependence (disorder)|Nicotine withdrawal syndrome (disorder)
61,NCT00000286,Cocaine abuse (disorder)|Depressive disorder (disorder),Disorder caused by cocaine (disorder)|Depressive disorder (disorder)
62,NCT00000288,Nicotine dependence (disorder)|Tobacco dependence syndrome (disorder),Substance dependence (disorder)
63,NCT00000289,Nicotine dependence (disorder)|Tobacco dependence syndrome (disorder)|Nicotine withdrawal syndrome (disorder),Substance dependence (disorder)|Nicotine withdrawal syndrome (disorder)
64,NCT00000290,Cocaine,Cocaine
65,NCT00000291,Cocaine,Cocaine
66,NCT00000292,Acute disease (disorder),Acute disease (disorder)
67,NCT00000293,Cocaine abuse (disorder)|Disorder caused by cocaine (disorder)|Substance dependence (disorder)|Depressive disorder (disorder),Disorder caused by cocaine (disorder)|Substance dependence (disorder)|Depressive disorder (disorder)
68,NCT00000295,Smokers,Smokers
69,NCT00000296,Nicotine dependence (disorder)|Tobacco dependence syndrome (disorder)|Nicotine withdrawal syndrome (disorder),Substance dependence (disorder)|Nicotine withdrawal syndrome (disorder)
70,NCT00000301,Disorder caused by cocaine (disorder)|Substance dependence (disorder),Disorder caused by cocaine (disorder)|Substance dependence (disorder)
71,NCT00000303,Disorder caused by cocaine (disorder)|Substance dependence (disorder),Disorder caused by cocaine (disorder)|Substance dependence (disorder)
72,NCT00000304,Cocaine,Cocaine
73,NCT00000306,Cocaine|Cocaine and|Opioid dependence (disorder),Cocaine|Cocaine and|Substance dependence (disorder)
74,NCT00000307,Cocaine dependence (disorder),Disorder caused by cocaine (disorder)
75,NCT00000308,Cocaine dependence (disorder),Disorder caused by cocaine (disorder)
76,NCT00000309,Cocaine,Cocaine
77,NCT00000310,Cocaine,Cocaine
78,NCT00000311,"Opioid dependence, on agonist therapy (disorder)|Cocaine abuse (disorder)|Opioid abuse (disorder)",Substance dependence (disorder)|Disorder caused by cocaine (disorder)|Substance abuse (disorder)
79,NCT00000312,Cocaine|Cocaine dependence (disorder),Cocaine|Disorder caused by cocaine (disorder)
80,NCT00000313,Serotonin syndrome (disorder),Adverse reaction caused by drug (disorder)
81,NCT00000314,Cocaine dependence (disorder),Disorder caused by cocaine (disorder)
82,NCT00000315,Cocaine abuse (disorder)|Disorder caused by cocaine (disorder)|Substance withdrawal syndrome (disorder),Disorder caused by cocaine (disorder)|Substance withdrawal syndrome (disorder)
83,NCT00000316,Cocaine abuse (disorder)|Disorder caused by cocaine (disorder)|Substance withdrawal syndrome (disorder),Disorder caused by cocaine (disorder)|Substance withdrawal syndrome (disorder)
