,nct_id,canonical_BioLinkBERT-base_conditions,snomed_termid,linkbert_snomed_term_canonical_conditions,linkbert_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
6,NCT00000151,diabetes mellitus,73211009,Diabetes mellitus (disorder),0.0,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
40,NCT00000187,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
42,NCT00000188,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
44,NCT00000189,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
45,NCT00000189,cocaine dependent,31956009,Cocaine dependence (disorder),6.1073,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
47,NCT00000191,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
49,NCT00000197,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
51,NCT00000198,cocaine dependent,31956009,Cocaine dependence (disorder),6.1073,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
54,NCT00000200,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
55,NCT00000200,cocaine users,78267003,Cocaine abuse (disorder),9.2265,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
