,nct_id,linkbert_snomed_term_canonical_interventions,linkbert_top_concept_canonical_first_interventions
0,NCT00000117,Immunoglobulin (substance),Immunoglobulin (substance)
1,NCT00000146,Corticosteroid and/or corticosteroid derivative (substance),Corticosteroid and/or corticosteroid derivative (substance)
2,NCT00000147,Corticosteroid and/or corticosteroid derivative (substance),Corticosteroid and/or corticosteroid derivative (substance)
3,NCT00000151,Aspirin (substance),Analgesic (substance)
4,NCT00000170,Atropine (substance),Bronchodilator (substance)
5,NCT00000171,Melatonin (substance),Melatonin (substance)
6,NCT00000172,Galantamine (substance),Benzazepine (substance)
7,NCT00000173,Donepezil (substance)|Donepezil hydrochloride (substance)|Vitamin E and/or vitamin E derivative (substance),Piperidine (substance)|Nutrients (substance)
8,NCT00000174,Rivastigmine (substance)|Rivastigmine tartrate (substance),Phenylcarbamate (substance)
9,NCT00000175,Substance with estrogen receptor agonist mechanism of action (substance)|Hormone (substance)|Testosterone (substance),Sex hormone (substance)|Hormone (substance)
10,NCT00000176,Substance with estrogen receptor agonist mechanism of action (substance),Sex hormone (substance)
11,NCT00000177,Substance with estrogen receptor agonist mechanism of action (substance),Sex hormone (substance)
12,NCT00000178,Calcium (substance)|Prednisone (substance)|Vitamin (substance),Mineral (substance)|Corticosteroid and/or corticosteroid derivative (substance)|Nutrients (substance)
13,NCT00000179,Haloperidol (substance)|Trazodone (substance),Ketone (substance)|Antidepressant (substance)
14,NCT00000180,Tisagenlecleucel (substance),Genetically modified T-cell (substance)
15,NCT00000187,Ketanserin (substance),Piperidine (substance)
16,NCT00000188,Selegiline (substance),Selegiline (substance)
17,NCT00000189,Antidepressant (substance)|Bulbogastrone (substance),Antidepressant (substance)|Gastrointestinal hormone (substance)
18,NCT00000190,Cocaine (substance),Local anesthetic (substance)
19,NCT00000191,Carbamazepine (substance),Carbamazepine (substance)
20,NCT00000197,Propranolol (substance),Propranolol (substance)
21,NCT00000198,Cocaine (substance)|Piracetam (substance),Local anesthetic (substance)|Piracetam (substance)
22,NCT00000199,Piracetam (substance),Piracetam (substance)
23,NCT00000200,Buprenorphine (substance)|Cocaine (substance)|Methadone (substance),Analgesic (substance)|Local anesthetic (substance)
24,NCT00000201,Cocaine (substance),Local anesthetic (substance)
25,NCT00000210,Buprenorphine (substance),Analgesic (substance)
26,NCT00000211,Buprenorphine (substance),Analgesic (substance)
27,NCT00000212,Desipramine (substance),Antidepressant (substance)
28,NCT00000213,Fluoxetine (substance),Antidepressant (substance)
29,NCT00000214,Nylidrin (substance),Nylidrin (substance)
30,NCT00000215,Pergolide (substance),Ergoline derivative (substance)
31,NCT00000216,Buprenorphine (substance)|Methadone (substance),Analgesic (substance)
32,NCT00000217,Carbamazepine (substance)|Desipramine (substance),Carbamazepine (substance)|Antidepressant (substance)
33,NCT00000218,Carbamazepine (substance)|Desipramine (substance),Carbamazepine (substance)|Antidepressant (substance)
34,NCT00000240,Buprenorphine (substance),Analgesic (substance)
35,NCT00000241,Desipramine (substance)|Flupentixol decanoate (substance)|Flupentixol (substance),Antidepressant (substance)|Flupentixol decanoate (substance)|Flupentixol (substance)
36,NCT00000242,Carbamazepine (substance),Carbamazepine (substance)
37,NCT00000244,Dynorphin (substance),Dynorphin (substance)
38,NCT00000245,Desipramine (substance),Antidepressant (substance)
39,NCT00000246,Substance with benzodiazepine receptor antagonist mechanism of action (substance)|Flumazenil (substance),Substance with benzodiazepine receptor antagonist mechanism of action (substance)|Flumazenil (substance)
40,NCT00000248,Pergolide (substance),Ergoline derivative (substance)
41,NCT00000249,Nitrous oxide (substance),Gaseous substance (substance)
42,NCT00000250,Nitrous oxide (substance),Gaseous substance (substance)
43,NCT00000251,Isoflurane (substance)|Nitrous oxide (substance),Isoflurane (substance)|Gaseous substance (substance)
44,NCT00000252,Nitrous oxide (substance),Gaseous substance (substance)
45,NCT00000253,Nitrous oxide (substance),Gaseous substance (substance)
46,NCT00000254,Isoflurane (substance)|Nitrous oxide (substance),Isoflurane (substance)|Gaseous substance (substance)
47,NCT00000255,Nitrous oxide (substance),Gaseous substance (substance)
48,NCT00000256,Benzodiazepine (substance)|Nitrous oxide (substance)|Substance with opioid receptor agonist mechanism of action (substance),Hypnotic agent (substance)|Gaseous substance (substance)|Substance with opioid receptor agonist mechanism of action (substance)
49,NCT00000257,Benzodiazepine (substance)|Nitrous oxide (substance)|Substance with opioid receptor agonist mechanism of action (substance),Hypnotic agent (substance)|Gaseous substance (substance)|Substance with opioid receptor agonist mechanism of action (substance)
50,NCT00000259,Benzodiazepine (substance)|Isoflurane (substance)|Nitrous oxide (substance)|Substance with opioid receptor agonist mechanism of action (substance)|Sevoflurane (substance),Hypnotic agent (substance)|Isoflurane (substance)|Gaseous substance (substance)|Substance with opioid receptor agonist mechanism of action (substance)|Sevoflurane (substance)
51,NCT00000260,Benzodiazepine (substance)|Nitrous oxide (substance)|Substance with opioid receptor agonist mechanism of action (substance),Hypnotic agent (substance)|Gaseous substance (substance)|Substance with opioid receptor agonist mechanism of action (substance)
52,NCT00000261,Nitrous oxide (substance)|Sevoflurane (substance),Gaseous substance (substance)|Sevoflurane (substance)
53,NCT00000262,Nitrous oxide (substance)|Sevoflurane (substance),Gaseous substance (substance)|Sevoflurane (substance)
54,NCT00000263,Ethanol (substance)|Nitrous oxide (substance),Ethanol (substance)|Gaseous substance (substance)
55,NCT00000264,Ethanol (substance)|Nitrous oxide (substance),Ethanol (substance)|Gaseous substance (substance)
56,NCT00000266,Flupentixol (substance),Flupentixol (substance)
57,NCT00000267,Risperidone (substance),Risperidone (substance)
58,NCT00000269,Pergolide (substance),Ergoline derivative (substance)
59,NCT00000271,Desipramine (substance),Antidepressant (substance)
60,NCT00000273,Buprenorphine (substance)|Diamorphine (substance)|Levomethadyl acetate hydrochloride (substance)|Methadone (substance)|Metolazone (substance)|Naltrexone (substance),Analgesic (substance)|Sulfone (substance)|Naltrexone (substance)
61,NCT00000274,Flupentixol (substance)|Haloperidol (substance),Flupentixol (substance)|Ketone (substance)
62,NCT00000275,Bupropion (substance),Antidepressant (substance)
63,NCT00000276,Substance with dopamine reuptake inhibitor mechanism of action (substance),Substance with dopamine reuptake inhibitor mechanism of action (substance)
64,NCT00000277,Mazindol (substance),Mazindol (substance)
65,NCT00000278,Disulfiram (substance),Disulfiram (substance)
66,NCT00000280,Glutamine (substance),Nutrients (substance)
67,NCT00000282,Pemoline (substance),Pemoline (substance)
68,NCT00000284,Cotinine (substance)|Nicotine (substance),Cotinine (substance)|Nicotine (substance)
69,NCT00000285,Cocaine (substance)|Phenytoin (substance),Local anesthetic (substance)|Phenytoin (substance)
70,NCT00000286,Cocaine (substance)|Nefazodone (substance),Local anesthetic (substance)|Antidepressant (substance)
71,NCT00000288,Cotinine (substance),Cotinine (substance)
72,NCT00000289,Nicotine (substance)|Ondansetron (substance),Nicotine (substance)|Tricyclic compound (substance)
73,NCT00000290,Cocaine (substance),Local anesthetic (substance)
74,NCT00000291,Cocaine (substance)|Labetalol (substance),Local anesthetic (substance)|Labetalol (substance)
75,NCT00000292,Cocaine (substance),Local anesthetic (substance)
76,NCT00000293,Nefazodone (substance),Antidepressant (substance)
77,NCT00000294,Carvedilol (substance)|Cocaine (substance),Carvedilol (substance)|Local anesthetic (substance)
78,NCT00000295,Progesterone (substance),Sex hormone (substance)
79,NCT00000296,Cotinine (substance)|Nicotine (substance),Cotinine (substance)|Nicotine (substance)
80,NCT00000297,Labetalol (substance)|Nicotine (substance),Labetalol (substance)|Nicotine (substance)
81,NCT00000301,Amantadine (substance)|Cocaine (substance),Amantadine (substance)|Local anesthetic (substance)
82,NCT00000303,Baclofen (substance)|Cocaine (substance),Baclofen (substance)|Local anesthetic (substance)
83,NCT00000304,Dexamfetamine (substance)|Dexamfetamine sulfate (substance),Amfetamine and/or amfetamine derivative (substance)
84,NCT00000305,Cocaine (substance)|Dexamfetamine (substance),Local anesthetic (substance)|Amfetamine and/or amfetamine derivative (substance)
85,NCT00000306,Dexamfetamine (substance)|Dexamfetamine sulfate (substance),Amfetamine and/or amfetamine derivative (substance)
86,NCT00000307,Naltrexone (substance),Naltrexone (substance)
87,NCT00000309,Risperidone (substance),Risperidone (substance)
88,NCT00000310,Risperidone (substance),Risperidone (substance)
89,NCT00000311,Buprenorphine (substance)|Methadone (substance),Analgesic (substance)
90,NCT00000314,Fenfluramine (substance),Amfetamine and/or amfetamine derivative (substance)
91,NCT00000317,Amoxapine (substance)|Cocaine (substance)|Risperidone (substance),Antidepressant (substance)|Local anesthetic (substance)|Risperidone (substance)
92,NCT00000318,Buprenorphine (substance),Analgesic (substance)
93,NCT00000319,Buprenorphine (substance),Analgesic (substance)
94,NCT00000321,Desipramine (substance)|Sertraline (substance),Antidepressant (substance)
95,NCT00000322,Tyrosine (substance),Nutrients (substance)
96,NCT00000324,Tryptophan (substance),Nutrients (substance)
97,NCT00000332,Nimodipine (substance),Nimodipine (substance)
98,NCT00000333,Atropine (substance)|Benzatropine (substance)|Substance with dopamine reuptake inhibitor mechanism of action (substance),Bronchodilator (substance)|Antispasmodic (substance)|Substance with dopamine reuptake inhibitor mechanism of action (substance)
99,NCT00000336,Selegiline (substance),Selegiline (substance)
100,NCT00000337,Cocaine (substance)|Selegiline (substance),Local anesthetic (substance)|Selegiline (substance)
101,NCT00000338,Cocaine (substance)|Lisuride (substance),Local anesthetic (substance)|Ergoline derivative (substance)
102,NCT00000339,Cocaine (substance)|Risperidone (substance),Local anesthetic (substance)|Risperidone (substance)
103,NCT00000340,Pemoline (substance),Pemoline (substance)
104,NCT00000342,Risperidone (substance),Risperidone (substance)
105,NCT00000346,Cocaine (substance),Local anesthetic (substance)
106,NCT00000347,Risperidone (substance),Risperidone (substance)
107,NCT00000348,Cocaine (substance)|Dihydralazine (substance),Local anesthetic (substance)|Dihydralazine (substance)
108,NCT00000349,Cocaine (substance)|Flupentixol (substance),Local anesthetic (substance)|Flupentixol (substance)
109,NCT00000352,Dextromethorphan (substance)|Methadone (substance),Dextromethorphan (substance)|Analgesic (substance)
110,NCT00000353,Buprenorphine (substance)|Naloxone (substance)|Supernumerary deciduous mandibular left lateral incisor tooth (disorder),Analgesic (substance)|Naloxone (substance)|Supernumerary deciduous mandibular left lateral incisor tooth (disorder)
111,NCT00000354,Lofexidine (substance),Lofexidine (substance)
112,NCT00000355,Buprenorphine (substance)|Naloxone (substance),Analgesic (substance)|Naloxone (substance)
113,NCT00000356,6-O-monoacetylmorphine (substance),Analgesic (substance)
114,NCT00000357,Buprenorphine (substance),Analgesic (substance)
