,Neurological Disease,Source,Disease Class
0,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine induced Parkinsonism",ICD,Diseases of the nervous system
1,11p Partial Monosomy Syndrome,MeSH,Neurologic Manifestations
2,"3s, Spinocerebellar Ataxia",MeSH,Neurodegenerative Diseases
3,"47,XX,+21",MeSH,Neurologic Manifestations
4,"47,XY,+21",MeSH,Neurologic Manifestations
5,4H leukodystrophy,ICD,Diseases of the nervous system
6,5p Deletion Syndrome,MeSH,Neurologic Manifestations
7,5p Deletion Syndromes,MeSH,Neurologic Manifestations
8,5p Minus Syndrome,MeSH,Neurologic Manifestations
9,5p Minus Syndromes,MeSH,Neurologic Manifestations
10,5p Syndrome,MeSH,Neurologic Manifestations
11,5p- Syndrome,MeSH,Neurologic Manifestations
12,"5p- Syndrome, Chromosome",MeSH,Neurologic Manifestations
13,5p- Syndromes,MeSH,Neurologic Manifestations
14,"5p- Syndromes, Chromosome",MeSH,Neurologic Manifestations
15,AB Variant GM2 Gangliosidosis,MeSH,Central Nervous System Diseases
16,AB Variant GM2-Gangliosidoses,MeSH,Central Nervous System Diseases
17,AB Variant GM2-Gangliosidosis,MeSH,Central Nervous System Diseases
18,AB Variant Gangliosidosis GM2,MeSH,Central Nervous System Diseases
19,ABO incompatibility reaction,ICD,Diseases of the nervous system
20,ACA Infarct,MeSH,Central Nervous System Diseases
21,ACA Infarction,MeSH,Central Nervous System Diseases
22,ACA Infarctions,MeSH,Central Nervous System Diseases
23,ACA Infarcts,MeSH,Central Nervous System Diseases
24,"ACTH Hypersecretion, Pituitary",MeSH,Central Nervous System Diseases
25,ACTH Producing Pituitary Adenoma,MeSH,Central Nervous System Diseases
26,ACTH Secreting Pituitary Adenoma,MeSH,Central Nervous System Diseases
27,ACTH-Producing Pituitary Adenoma,MeSH,Central Nervous System Diseases
28,ACTH-Producing Pituitary Adenomas,MeSH,Central Nervous System Diseases
29,ACTH-Secreting Pituitary Adenoma,MeSH,Central Nervous System Diseases
30,ACTH-Secreting Pituitary Adenomas,MeSH,Central Nervous System Diseases
31,"ADH Syndrome, Inappropriate",MeSH,Central Nervous System Diseases
32,"AIDS Arteritis, Central Nervous System",MeSH,Central Nervous System Diseases
33,AIDS Dementia Complex,MeSH,Central Nervous System Diseases
34,AIDS Related Dementia Complex,MeSH,Central Nervous System Diseases
35,AIDS-Related Dementia Complex,MeSH,Central Nervous System Diseases
36,ALD (Adrenoleukodystrophy),MeSH,Central Nervous System Diseases
37,ALS - Amyotrophic Lateral Sclerosis,MeSH,Central Nervous System Diseases
38,ALS Amyotrophic Lateral Sclerosis,MeSH,Central Nervous System Diseases
39,ANS (Autonomic Nervous System) Diseases,MeSH,Autonomic Nervous System Diseases
40,ANS Disease,MeSH,Autonomic Nervous System Diseases
41,ANS Diseases,MeSH,Autonomic Nervous System Diseases
42,ARG1 Deficiencies,MeSH,Central Nervous System Diseases
43,ARG1 Deficiency,MeSH,Central Nervous System Diseases
44,ASA Deficiencies,MeSH,Central Nervous System Diseases
45,ASA Deficiency,MeSH,Central Nervous System Diseases
46,ASL Deficiencies,MeSH,Central Nervous System Diseases
47,ASL Deficiency,MeSH,Central Nervous System Diseases
48,ASS Deficiencies,MeSH,Central Nervous System Diseases
49,ASS Deficiency,MeSH,Central Nervous System Diseases
50,AVM (Arteriovenous Malformation) Intracranial,MeSH,Central Nervous System Diseases
51,Abdominal migraine,ICD,Diseases of the nervous system
52,Abducens Nerve Disease,MeSH,Cranial Nerve Diseases
53,Abducens Nerve Diseases,MeSH,Cranial Nerve Diseases
54,Abducens Nerve Injuries,MeSH,Cranial Nerve Diseases
55,Abducens Nerve Injury,MeSH,Cranial Nerve Diseases
56,Abducens Nerve Trauma,MeSH,Cranial Nerve Diseases
57,Abducens Nerve Traumas,MeSH,Cranial Nerve Diseases
58,"Abducens Neuropathies, Traumatic",MeSH,Cranial Nerve Diseases
59,"Abducens Neuropathy, Traumatic",MeSH,Cranial Nerve Diseases
60,Abducens nerve palsy,ICD,Diseases of the nervous system
61,Abducens nerve palsy associated with other neurologic signs,ICD,Diseases of the nervous system
62,Abetalipoproteinemia causing ophthalmoplegia,ICD,Diseases of the nervous system
63,Abnormal EEG - [electroencephalogram],ICD,Diseases of the nervous system
64,Abnormal EMG - [electromyogram],ICD,Diseases of the nervous system
65,Abnormal EOG - [electro-oculogram],ICD,Diseases of the nervous system
66,Abnormal ERG - [electroretinogram],ICD,Diseases of the nervous system
67,Abnormal Movement,MeSH,Central Nervous System Diseases
