,Neurological Disease,Disease Class,Source
0,Disturbance in Motor Function in Dementia,Psychiatry and Psychology Category,MeSH
1,Aberrant Motor Behaviors in Dementia,Psychiatry and Psychology Category,MeSH
2,Disturbances in Motor Function in Dementia,Psychiatry and Psychology Category,MeSH
3,Agitation in Dementia,Psychiatry and Psychology Category,MeSH
4,Dementia Agitation,Psychiatry and Psychology Category,MeSH
5,"Agitation, Dementia",Psychiatry and Psychology Category,MeSH
6,Aggression in Dementia,Psychiatry and Psychology Category,MeSH
7,Dementia Aggression,Psychiatry and Psychology Category,MeSH
8,"Aggression, Dementia",Psychiatry and Psychology Category,MeSH
9,Wandering in Dementia,Psychiatry and Psychology Category,MeSH
10,Dementia Wandering,Psychiatry and Psychology Category,MeSH
11,"Wandering, Dementia",Psychiatry and Psychology Category,MeSH
12,Care Rejection in Dementia,Psychiatry and Psychology Category,MeSH
13,Care Refusal in Dementia,Psychiatry and Psychology Category,MeSH
14,Rejection of Care in Dementia,Psychiatry and Psychology Category,MeSH
15,Aggressions,Psychiatry and Psychology Category,MeSH
16,Psychomotor Hyperactivity,Diseases Category,MeSH
17,"Hyperactivity, Psychomotor",Diseases Category,MeSH
18,"Excitement, Psychomotor",Diseases Category,MeSH
19,Psychomotor Excitement,Diseases Category,MeSH
20,Psychomotor Restlessness,Diseases Category,MeSH
21,"Restlessness, Psychomotor",Diseases Category,MeSH
22,"Agitation, Psychomotor",Diseases Category,MeSH
23,Restlessness,Diseases Category,MeSH
24,Akathisia,Diseases Category,MeSH
25,"Behavior, Wandering",Psychiatry and Psychology Category,MeSH
26,Affective Symptom,Psychiatry and Psychology Category,MeSH
27,"Symptom, Affective",Psychiatry and Psychology Category,MeSH
28,"Symptoms, Affective",Psychiatry and Psychology Category,MeSH
29,Alexithymia,Psychiatry and Psychology Category,MeSH
30,Alexithymias,Psychiatry and Psychology Category,MeSH
31,Emotional Disturbances,Psychiatry and Psychology Category,MeSH
32,"Disturbance, Emotional",Psychiatry and Psychology Category,MeSH
33,"Disturbances, Emotional",Psychiatry and Psychology Category,MeSH
34,Emotional Disturbance,Psychiatry and Psychology Category,MeSH
35,Agonistic Behaviors,Psychiatry and Psychology Category,MeSH
36,"Behavior, Agonistic",Psychiatry and Psychology Category,MeSH
37,"Behaviors, Agonistic",Psychiatry and Psychology Category,MeSH
38,Catatonias,Diseases Category,MeSH
39,"Catatonia, Organic",Diseases Category,MeSH
40,"Catatonias, Organic",Diseases Category,MeSH
41,Organic Catatonia,Diseases Category,MeSH
42,Organic Catatonias,Diseases Category,MeSH
43,Organic Catatonic Disorder,Diseases Category,MeSH
44,"Catatonic Disorder, Organic",Diseases Category,MeSH
45,"Catatonic Disorders, Organic",Diseases Category,MeSH
46,Organic Catatonic Disorders,Diseases Category,MeSH
47,Schizophreniform Catatonia,Diseases Category,MeSH
48,"Catatonia, Schizophreniform",Diseases Category,MeSH
49,"Catatonias, Schizophreniform",Diseases Category,MeSH
50,Schizophreniform Catatonias,Diseases Category,MeSH
51,"Catatonia, Malignant",Diseases Category,MeSH
52,"Catatonias, Malignant",Diseases Category,MeSH
53,Malignant Catatonia,Diseases Category,MeSH
54,Malignant Catatonias,Diseases Category,MeSH
55,Lethal Catatonia,Diseases Category,MeSH
56,"Catatonia, Lethal",Diseases Category,MeSH
57,"Catatonias, Lethal",Diseases Category,MeSH
58,Lethal Catatonias,Diseases Category,MeSH
59,Child Reactive Disorder,Psychiatry and Psychology Category,MeSH
60,"Reactive Disorder, Child",Psychiatry and Psychology Category,MeSH
61,Delusion,Psychiatry and Psychology Category,MeSH
62,Depersonalizations,Psychiatry and Psychology Category,MeSH
63,Derealization,Psychiatry and Psychology Category,MeSH
64,Derealizations,Psychiatry and Psychology Category,MeSH
65,Depersonalization Disorder,Psychiatry and Psychology Category,MeSH
66,Depersonalization Disorders,Psychiatry and Psychology Category,MeSH
67,"Disorder, Depersonalization",Psychiatry and Psychology Category,MeSH
68,"Disorders, Depersonalization",Psychiatry and Psychology Category,MeSH
69,Depressive Disorders,Psychiatry and Psychology Category,MeSH
70,"Disorder, Depressive",Psychiatry and Psychology Category,MeSH
71,"Disorders, Depressive",Psychiatry and Psychology Category,MeSH
72,"Neurosis, Depressive",Psychiatry and Psychology Category,MeSH
73,Depressive Neuroses,Psychiatry and Psychology Category,MeSH
74,Depressive Neurosis,Psychiatry and Psychology Category,MeSH
75,"Neuroses, Depressive",Psychiatry and Psychology Category,MeSH
76,"Depression, Endogenous",Psychiatry and Psychology Category,MeSH
77,"Depressions, Endogenous",Psychiatry and Psychology Category,MeSH
78,Endogenous Depression,Psychiatry and Psychology Category,MeSH
79,Endogenous Depressions,Psychiatry and Psychology Category,MeSH
80,Depressive Syndrome,Psychiatry and Psychology Category,MeSH
81,Depressive Syndromes,Psychiatry and Psychology Category,MeSH
82,"Syndrome, Depressive",Psychiatry and Psychology Category,MeSH
83,"Syndromes, Depressive",Psychiatry and Psychology Category,MeSH
84,"Depression, Neurotic",Psychiatry and Psychology Category,MeSH
85,"Depressions, Neurotic",Psychiatry and Psychology Category,MeSH
86,Neurotic Depression,Psychiatry and Psychology Category,MeSH
87,Neurotic Depressions,Psychiatry and Psychology Category,MeSH
88,Melancholia,Psychiatry and Psychology Category,MeSH
89,Melancholias,Psychiatry and Psychology Category,MeSH
90,Unipolar Depression,Psychiatry and Psychology Category,MeSH
91,"Depression, Unipolar",Psychiatry and Psychology Category,MeSH
92,"Depressions, Unipolar",Psychiatry and Psychology Category,MeSH
93,Unipolar Depressions,Psychiatry and Psychology Category,MeSH
94,Depressive Symptoms,Psychiatry and Psychology Category,MeSH
95,Depressive Symptom,Psychiatry and Psychology Category,MeSH
96,"Symptom, Depressive",Psychiatry and Psychology Category,MeSH
97,Emotional Depression,Psychiatry and Psychology Category,MeSH
98,"Depression, Emotional",Psychiatry and Psychology Category,MeSH
99,"Enuresis, Diurnal",Diseases Category,MeSH
100,Daytime Wetting,Diseases Category,MeSH
101,"Wetting, Daytime",Diseases Category,MeSH
102,Daytime Urinary Incontinence,Diseases Category,MeSH
103,"Incontinence, Daytime Urinary",Diseases Category,MeSH
104,"Urinary Incontinence, Daytime",Diseases Category,MeSH
105,"Enuresis, Nocturnal",Diseases Category,MeSH
106,Nighttime Urinary Incontinence,Diseases Category,MeSH
107,"Incontinence, Nighttime Urinary",Diseases Category,MeSH
108,"Urinary Incontinence, Nighttime",Diseases Category,MeSH
109,Bedwetting,Diseases Category,MeSH
