,nct_id,canonical_aact_interventions,canonical_BioLinkBERT-base_interventions,canonical_aact_conditions,canonical_BioLinkBERT-base_conditions
7613,NCT01445691,5-ala (gliolan),5-aminolevulinic acid|aminolevulinic acid,"gliomas|brain neoplasms, malignant|intracranial neoplasms|primary malignant brain neoplasms|primary malignant brain tumors|brain neoplasms, benign|brain tumor, recurrent|brain neoplasms|neoplasms, intracranial|primary brain neoplasms|brain tumor, primary|benign neoplasms, brain|brain cancer|glioblastoma",brain neoplasms|newly diagnosed or recurrent malignant gliomas|tumor|tumors
3341,NCT00471588,"pramipexole, amisulpride",amisulpride|dopamine d2/d3 receptor agonist and antagonist drug|pramipexole,obsessive-compulsive disorder,addictive and compulsive disorders|compulsive behaviour|ocd|stimulant-dependent
14529,NCT03865953,lat8881,lat8881,diabetic peripheral neuropathy (dpn)|neuropathic pain|neuralgia|post herpetic neuralgia (phn),neuralgia|neuropathic pain
19052,NCT05999604,ocrelizumab injection [ocrevus],anti-cd20|anti-cd20 agents|humanized anti-cd20 monoclonal antibody|ocrelizumab,multiple sclerosis,active ms|multiple sclerosis
3474,NCT00494468,zolpidem,zolpidem,sleep wake disorders|insomnia,sleep disturbances
2448,NCT00307671,"mycophenolate mofetil,methotrexate|cyclophosphamide, azathioprine,prednisone,methylprednisolone|prednisone, methylprednisolone,cyclophosphamides",immunosuppressants|steroids,vasculitis|wegener's granulomatosis|polyarteritis nodosa|churg-strauss syndrome|microscopic polyangiitis,necrotizing vasculitides|systemic necrotizing vasculitides
13974,NCT03635827,,xenon,"stress disorders, post-traumatic|post traumatic stress disorder","stress disorders, post-traumatic"
9640,NCT02043977,propofol injectable emulsion,propofol,sleep wake disorders|insomnia|dyssomnia|dyssomnias,chronic insomnia|insomnia|refractory chronic primary insomnia
18245,NCT05573906,,benzodiazepines,anxiety disorders,anxiety|anxiety disorders|benzodiazepine|benzodiazepines|opioid|opioids|pain|prescription opioids
718,NCT00073411,duloxetine|escitalopram,duloxetine|escitalopram,depression,major depression
9249,NCT01923974,melatonin 100 mg|melatonin 10 mg,melatonin,antihyperalgesia|analgesia,heat injury
