,nct_id,phase,brief_summary_description
177885,NCT00382824,Not Applicable,"The clinical syndrome of PSP responds poorly to all available forms of therapy used in Parkinson's Disease (PD). Currently, no effective treatment exists. Coenzyme Q10 in high doses has been shown to be a beneficial therapy in PD and might possibly be a beneficial therapy for PSP. This study will compare the efficacy, safety and tolerability of Coenzyme Q10 versus placebo in patients with atypical parkinsonian syndrome, progressive supranuclear palsy (PSP)."
1855238,NCT02642289,Not Applicable,This study evaluates the benefits of probiotics in patients with fibromyalgia syndrome.
777924,NCT01542892,Not Applicable,"Several trials have found that nutritional supplementation can elicit an increased rate of skeletal muscle protein synthesis following a single bout of exercise in both young and older individuals. However, there have been no studies that have investigated if nutritional supplementation and exercise can cause a sustained increase in physical functioning and fat free mass, particularly in older adults with functional limitations. This study will compare the effects of a nutritional supplement versus a placebo on exercise training induced changes in physical functioning older adults who are at risk for mobility disability."
2362950,NCT04327726,Not Applicable,"Postdural puncture headache (PDPH) is a common complication, following neuraxial techniques. The obstetric population is particularly prone to PDPH. Therefore, treatment of PDPH is a key issue in obstetric anesthesia.

Dexmedetomidine is a highly selective, centrally acting α2-adrenergic agonist with analgesic and anxiolytic effects. Moreover, it decreases cerebral blood flow (CBF) in humans and animals secondary to cerebrovascular vasoconstriction. It has been used via the intranasal and inhalational routes for many purposes including premedication, sedation and postoperative analgesia. Because of its desirable properties, we hypothesized that dexmedetomidine nebulization could be effective in the treatment of patients suffering from PDPH after caesarean section."
2527754,NCT05382026,Not Applicable,"Canada's Food Guide places an increased emphasis on plant-based proteins; however, Canadians who consume a plant-based diet may be compromised because of intake of lower-quality protein. Consumption of high-quality protein is important during growth and development, especially in highly active individuals. The study will compare milk (i.e. high quality protein) to a pea-based beverage (i.e. lower quality plant-based protein) in adolescent boys and girls who are engaged in resistance-training programs as part of their athletic training. One-hundred and fourteen adolescent boys and girls (12-17y of age) will be divided into groups that consume milk, a pea-beverage, or a carbohydrate (sugar) beverage after resistance training sessions performed three times per week for six months. It is predicted that the group consuming milk will have greater increases in muscle mass, strength, and bone density, and greater reductions in fat mass compared to the groups consuming a pea-based or carbohydrate beverages."
1986142,NCT02991001,Not Applicable,"Carpal tunnel syndrome (CTS) is the most common peripheral entrapment neuropathy with involving compression of the median nerve in the carpal tunnel. Rather than other progressive disease, CTS is characterized by remission and recurrence. The hydrodissection could decrease the entrapment of nerve to restore blood supply. Despite the hydrodissection was pervasively used in clinical practice, current researches contain small participant without control group or randomized leading to foreseeable selection bias. The investigators design a randomized, double-blind, controlled trail to assess the effect after ultrasound-guided hydrodissection in patients with CTS."
1281853,NCT02323048,Not Applicable,"The aim of the study is to extend our investigations of drug-associated conditioning with healthy volunteers. The investigators have recently completed a pilot study demonstrating that subjects show an increase in self-reported preference for a visual stimulus paired with stimulant drug administration. Furthermore, our pilot data suggest that methamphetamine acts synergistically with rewards in the environment, such that this conditioning effect is facilitated by experiencing the drug in the presence of rewarding, or positive events, such as earning money. The investigators now aim to extend these findings by assessing not only self-reported preference, but also attentional and psychophysiological (electromyogram; EMG) responses to the drug-associated stimuli."
780011,NCT01547494,Not Applicable,"The purpose of the study is to assess whether, in individuals with migraines, a low-fat, vegan diet improves pain more effectively than a control supplement or a placebo. The principal measures are pain as measured by Visual Analog Scale (VAS) and the change in migraines frequency. The study duration is 36 weeks."
844525,NCT01641120,Not Applicable,The purpose of this study is to evaluate patients' views when injecting Avonex intramuscularly.
2526153,NCT05374681,Not Applicable,"Chronic subdural hematomas (CSH) are collections of blood in the subdural space. CSH are becoming the most common cranial neurosurgical condition among adults, and a significant public health problem, due to an increasing use of anticoagulant and antiplatelet medication in an ageing population. Symptomatic CSH, or CSH with a significant mass effect, are treated surgically. However, recurrences are common (10 to 20%). Conservative management (medical) is used in patients who are asymptomatic or have minor symptoms. However, therapeutic failures, requiring surgical treatment, are common. The pathophysiology of CSH involves inflammation, angiogenesis, and clotting dysfunction. Self-perpetuation and rebleeding is thought to be caused by neo-membranes from the inflammatory remodeling of the dura-mater mainly fed by the distal branches of the middle meningeal artery (MMA). There are 13 ongoing registered RCTs in CSH, with the most common covering application of steroids, surgical techniques and tranexamic acid. Further to this, there are trials running on other pharmacological agents, and peri-operative management. Some industrial or academic trials are or will enroll in France in the next year in France. But to our best knowledge, none of these trials will the eventual benefits of the MMA embolization in both cases of medical and/or surgical management, and none will focus on the use of cyanoacrylates (CYA) for this purpose.

Preliminary case series and nonrandomized retrospective studies have suggested that MMA embolization alone or as adjuvant therapy to surgery can decrease recurrences.

The investigators hypothesize that in both conditions of conservative or surgical managements, endovascular embolization of patients with CSH significantly reduces the risk of recurrence of CSH. The investigators choose the CYA as liquid embolic agent because of the pain and cost of the use of Ethylen Vinyl alcohol copolymer (EVOH) agents and its simplicity to be used."
523139,NCT01126099,Not Applicable,A study of outpatient participants with Alzheimer's disease or a related dementia who have difficult behaviors that are upsetting for them or their caregivers. Prazosin is a medication that is commonly used to treat people with high blood pressure. Research with prazosin has shown that it may be effective in treating behavioral problems by reducing excess adrenalin effects in the brain.
